time_s,radius_m,Cmax,argmax_xi,argmax_radius_m,center_C,mean_C,surface_C,Cmin,Tmin_C,Tmax_C,radial_increase,relative_balance
2.0176333520240069e-05,0.01999999998582052,2.5499999999999998,0,0,2.5499999999999998,2.5499999959157407,2.54997913626989,2.54997913626989,27.999999999999979,28.0000000000094,0,4.3823730501658214e-15
4.0352667040480139e-05,0.019999999971641043,2.5499999999999998,0,0,2.5499999999999998,2.5499999918315153,2.5499583288086565,2.5499583288086565,27.999999999999979,28.000000000028809,0,8.6567954052511384e-15
7.9787594031767759e-05,0.019999999943927052,2.5499999999999998,0,0,2.5499999999999998,2.549999983848922,2.5499178044619906,2.5499178044619906,28,28.00000000008896,0,1.186509833799989e-14
0.00011922252102305538,0.019999999916213061,2.5499999999999998,0,0,2.5499999999999998,2.5499999758664504,2.549877487339522,2.549877487339522,28,28.000000000175778,0,1.2520774645537617e-14
0.000158657448014343,0.01999999988849907,2.5499999999999998,0,0,2.5499999999999998,2.5499999678841041,2.5498373835415049,2.5498373835415049,28,28.000000000284718,0,1.265833902552436e-14
0.00024964679428739504,0.01999999982455378,2.5499999999999998,0,0,2.5499999999999998,2.5499999494666841,2.5497456644752217,2.5497456644752217,28,28.000000000600238,0,1.220995513341989e-14
0.00034063614056044708,0.01999999976060849,2.5499999999999998,0,0,2.5499999999999998,2.5499999310499266,2.5496550666007054,2.5496550666007054,28,28.000000000992827,0,1.1445263035541898e-14
0.00043162548683349912,0.0199999996966632,2.5499999999999998,0,0,2.5499999999999998,2.5499999126338251,2.54956557058554,2.54956557058554,28,28.000000001448416,0,1.0879865994609444e-14
0.0006212376432869302,0.019999999563407991,2.5499999999999998,0,0,2.5499999999999998,2.549999874258694,2.5493825257530598,2.5493825257530598,28,28.000000002570442,0,1.0381557519445632e-14
0.00081084979974036127,0.019999999430152779,2.5499999999999998,0,0,2.5499999999999998,2.5499998358863065,2.5492040028592484,2.5492040028592484,28,28.000000003884576,0,1.0524290638646101e-14
0.0010004619561937923,0.01999999929689757,2.5499999999999998,0,0,2.5499999999999998,2.5499997975165938,2.5490298284879227,2.5490298284879227,28,28.000000005366555,0,1.0635042851917008e-14
0.0011900741126472233,0.019999999163642361,2.5499999999999998,0,0,2.5499999999999998,2.549999759149491,2.5488598379915635,2.5488598379915635,28,28.000000007001187,0,1.0806998635425811e-14
0.0015283505555579308,0.019999998925909195,2.5499999999999998,0,0,2.5499999999999998,2.5499996907071751,2.5485664708448543,2.5485664708448543,28,28.000000010254411,0,1.0753779539953405e-14
0.0018666269984686382,0.019999998688176028,2.5499999999999998,0,0,2.5499999999999998,2.5499996222726335,2.5482850902174805,2.5482850902174805,28,28.000000013899761,0,1.0376597759707862e-14
0.0022049034413793456,0.019999998450442858,2.5499999999999998,0,0,2.5499999999999998,2.5499995538455522,2.5480149228526972,2.5480149228526972,28,28.000000017899179,0,1.0110524182278102e-14
0.0025431798842900531,0.019999998212709692,2.5499999999999998,0,0,2.5499999999999998,2.5499994854256398,2.5477552499502272,2.5477552499502272,28,28.00000002222173,0,1.0458146604929412e-14
0.0028814563272007605,0.019999997974976525,2.5499999999999998,0,0,2.5499999999999998,2.5499994170126183,2.5475054040426941,2.5475054040426941,28,28.000000026843807,0,1.0332591160852144e-14
0.0034881999010900654,0.019999997548570625,2.5499999999999998,0,0,2.5499999999999998,2.5499992943212701,2.5470799569571123,2.5470799569571123,28,28.000000035828585,0,9.6942610807641543e-15
0.0040949434749793703,0.019999997122164725,2.5499999999999998,0,0,2.5499999999999998,2.5499991716499153,2.5466809366149179,2.5466809366149179,28,28.000000045639656,0,8.5150631526881415e-15
0.0047016870488686751,0.019999996695758825,2.5499999999999998,0,0,2.5499999999999998,2.5499990489973432,2.5463055266986743,2.5463055266986743,28,28.000000056213228,0,7.4824369116041691e-15
0.00530843062275798,0.019999996269352924,2.5499999999999998,0,0,2.5499999999999998,2.5499989263624685,2.5459512554405448,2.5459512554405448,28,28.000000067495932,0,6.4802834284280123e-15
0.0059151741966472849,0.019999995842947024,2.5499999999999998,0,0,2.5499999999999998,2.5499988037443213,2.5456159498765887,2.5456159498765887,28,28.000000079444909,0,6.2727555465948257e-15
0.0066175052800246052,0.019999995349364346,2.5499999999999998,0,0,2.5499999999999998,2.5499986618284249,2.5452490061124138,2.5452490061124138,28,28.00000009406277,0,5.9336351613812647e-15
0.0073198363634019254,0.019999994855781668,2.5499999999999998,0,0,2.5499999999999998,2.5499985199325628,2.5449023412445659,2.5449023412445659,28,28.000000109480844,0,6.1014693697057212e-15
0.0080221674467792457,0.01999999436219899,2.5499999999999998,0,0,2.5499999999999998,2.5499983780556597,2.5445737194141662,2.5445737194141662,28,28.000000125659035,0,6.6251199323731759e-15
0.0087244985301565652,0.019999993868616311,2.5499999999999998,0,0,2.5499999999999998,2.5499982361967555,2.5442612042271211,2.5442612042271211,28,28.000000142562715,0,6.7085937512435861e-15
0.0094268296135338846,0.019999993375033633,2.5499999999999998,0,0,2.5499999999999998,2.5499980943549949,2.5439631158726561,2.5439631158726561,28,28.000000160162013,0,7.0364512537248686e-15
0.010129160696911204,0.019999992881450955,2.5499999999999998,0,0,2.5499999999999998,2.5499979525296084,2.5436779931265248,2.5436779931265248,28,28.00000017843055,0,7.0139053990043909e-15
0.011096268120997,0.01999999220178935,2.5499999999999998,0,0,2.5499999999999998,2.549997757262088,2.5433042809885742,2.5433042809885742,28,28.000000204638187,0,7.5382173211233247e-15
0.012063375545082796,0.019999991522127742,2.5499999999999998,0,0,2.5499999999999998,2.5499975620227104,2.5429499155198236,2.5429499155198236,28,28.000000232014919,0,8.2104243364012747e-15
0.013030482969168592,0.019999990842466137,2.5499999999999998,0,0,2.5499999999999998,2.5499973668100733,2.5426125199600471,2.5426125199600471,28,28.000000260512458,0,8.9760356069497721e-15
0.013997590393254388,0.019999990162804529,2.5499999999999998,0,0,2.5499999999999998,2.5499971716229415,2.5422901024058935,2.5422901024058935,28,28.000000290088202,0,9.3383535846390331e-15
0.014964697817340184,0.019999989483142924,2.5499999999999998,0,0,2.5499999999999998,2.5499969764602239,2.5419809860691571,2.5419809860691571,28,28.000000320704046,0,9.6330587396715221e-15
0.01593180524142598,0.019999988803481316,2.5499999999999998,0,0,2.5499999999999998,2.5499967813209481,2.5416837509023971,2.5416837509023971,28,28.0000003523256,0,9.9119460375241383e-15
0.017099241754997104,0.019999987983032878,2.5499999999999998,0,0,2.5499999999999998,2.5499965457900222,2.5413390653570298,2.5413390653570298,28,28.000000391792891,0,1.0780336690416519e-14
0.018266678268568228,0.019999987162584439,2.5499999999999998,0,0,2.5499999999999998,2.5499963102906227,2.5410081446530897,2.5410081446530897,28,28.000000432630689,0,1.1178512721128248e-14
0.019434114782139352,0.019999986342136001,2.5499999999999998,0,0,2.5499999999999998,2.549996074821538,2.540689488485508,2.540689488485508,28,28.000000474794138,0,1.1994395345691488e-14
0.020601551295710476,0.019999985521687563,2.5499999999999998,0,0,2.5499999999999998,2.5499958393816802,2.5403818367888609,2.5403818367888609,28,28.000000518242583,0,1.2066192866089367e-14
0.0217689878092816,0.019999984701239124,2.5499999999999998,0,0,2.5499999999999998,2.5499956039700762,2.5400841232434819,2.5400841232434819,28,28.000000562938883,0,1.2551814467299859e-14
0.022936424322852724,0.019999983880790686,2.5499999999999998,0,0,2.5499999999999998,2.5499953685858392,2.5397954375506622,2.5397954375506622,28,28.000000608848879,0,1.2658206320789898e-14
0.024420288239532319,0.0199999828379641,2.5499999999999998,0,0,2.5499999999999998,2.5499950694402083,2.5394403159461461,2.5394403159461461,28,28.000000668904963,0,1.3247079084659621e-14
0.025904152156211915,0.019999981795137511,2.5499999999999998,0,0,2.5499999999999998,2.5499947703359975,2.5390971555491717,2.5390971555491717,28,28.000000730811809,0,1.4122058379096277e-14
0.02738801607289151,0.019999980752310926,2.5499999999999998,0,0,2.5499999999999998,2.5499944712718561,2.5387648048458251,2.5387648048458251,28,28.00000079451527,0,1.4810206747611545e-14
0.028871879989571105,0.01999997970948434,2.5499999999999998,0,0,2.5499999999999998,2.5499941722465587,2.5384422877177744,2.5384422877177744,28,28.000000859965656,0,1.4695885347611017e-14
0.0303557439062507,0.019999978666657755,2.5499999999999998,0,0,2.5499999999999998,2.5499938732589924,2.5381287688187051,2.5381287688187051,28,28.000000927117188,0,1.5249647167312651e-14
0.031839607822930299,0.019999977623831169,2.5499999999999998,0,0,2.5499999999999998,2.5499935743081306,2.5378235257708686,2.5378235257708686,28,28.000000995927483,0,1.5478660455486042e-14
0.033819989550512297,0.019999976232062899,2.5499999999999998,0,0,2.5499999999999998,2.5499931753804561,2.5374279600950538,2.5374279600950538,28,28.000001090278911,0,1.6147961718494522e-14
0.035800371278094295,0.019999974840294629,2.5499999999999998,0,0,2.5499999999999998,2.5499927765144328,2.537044733086498,2.537044733086498,28,28.000001187428737,0,1.6951535761688371e-14
0.037780753005676293,0.019999973448526359,2.5499999999999998,0,0,2.5499999999999998,2.5499923777081945,2.5366727477428026,2.5366727477428026,28,28.000001287297867,0,1.753747845471567e-14
0.039761134733258291,0.019999972056758089,2.5499999999999998,0,0,2.5499999999999998,2.549991978960036,2.536311064329837,2.536311064329837,28,28.000001389813544,0,1.7882836448159531e-14
0.041741516460840289,0.019999970664989822,2.5499999999999998,0,0,2.5499999999999998,2.5499915802683919,2.5359588700320748,2.5359588700320748,28,28.000001494908535,0,1.8217463395488368e-14
0.043721898188422287,0.019999969273221552,2.5499999999999998,0,0,2.5499999999999998,2.5499911816318162,2.5356154544366158,2.5356154544366158,28,28.000001602520467,0,1.8565278199198348e-14
0.046425116421466836,0.01999996737345985,2.5499999999999998,0,0,2.5499999999999998,2.5499906375799357,2.5351597432891393,2.5351597432891393,28,28.000001753368718,0,1.936905186615629e-14
0.049128334654511385,0.019999965473698145,2.5499999999999998,0,0,2.5499999999999998,2.5499900936250426,2.5347178505186103,2.5347178505186103,28,28.000001908662391,0,2.0707412898170502e-14
0.051831552887555934,0.019999963573936443,2.5500000000000003,0.99550781250000009,0.019910119987569152,2.5499999999999998,2.5499895497642773,2.5342885913761415,2.5342885913761415,28,28.000002068276419,4.4408920985006262e-16,2.139610304219806e-14
0.054534771120600484,0.01999996167417474,2.5499999999999998,0,0,2.5499999999999998,2.549989005995021,2.5338709441435632,2.5338709441435632,28,28.00000223209571,0,2.1843652754383677e-14
0.057237989353645033,0.019999959774413038,2.5499999999999998,0,0,2.5499999999999998,2.5499884623148623,2.533464019664962,2.533464019664962,28,28.000002400013852,0,2.234610492273827e-14
0.059941207586689582,0.019999957874651336,2.5499999999999998,0,0,2.5499999999999998,2.5499879187215675,2.5330670367142427,2.5330670367142427,28,28.000002571932097,0,2.2580217921393471e-14
0.063588977229699056,0.019999955311079891,2.5499999999999998,0,0,2.5499999999999998,2.549987185321382,2.5325458906960843,2.5325458906960843,28,28.000002810100586,0,2.3844963884013657e-14
0.06723674687270853,0.019999952747508449,2.5499999999999998,0,0,2.5499999999999998,2.5499864520709155,2.5320401166759323,2.5320401166759323,28,28.00000305517721,0,2.528558007452516e-14
0.070884516515718005,0.019999950183937003,2.5499999999999998,0,0,2.5499999999999998,2.5499857189658721,2.5315484370212387,2.5315484370212387,28,28.000003306970189,0,2.6615871146703295e-14
0.074532286158727479,0.019999947620365562,2.5499999999999998,0,0,2.5499999999999998,2.5499849860023032,2.5310697438306691,2.5310697438306691,28,28.000003565302819,0,2.7091544125450395e-14
0.078180055801736953,0.019999945056794116,2.5499999999999998,0,0,2.5499999999999998,2.5499842531765649,2.5306030683190368,2.5306030683190368,28,28.0000038300116,0,2.7593038776428077e-14
0.081827825444746427,0.019999942493222674,2.5499999999999998,0,0,2.5499999999999998,2.5499835204852772,2.5301475561639579,2.5301475561639579,28,28.000004100944604,0,2.798427174882793e-14
0.086676967101055422,0.019999939085353677,2.5499999999999998,0,0,2.5499999999999998,2.5499825466891077,2.5295580181468744,2.5295580181468744,28,28.000004470502489,0,2.9482330523320134e-14
0.091526108757364416,0.019999935677484679,2.5499999999999998,0,0,2.5499999999999998,2.5499815731181745,2.5289853163043601,2.5289853163043601,28,28.000004850502197,0,3.1635822630260319e-14
0.096375250413673411,0.019999932269615682,2.5499999999999998,0,0,2.5499999999999998,2.5499805997662119,2.5284280975406395,2.5284280975406395,28,28.000005240660418,0,3.3058683301991981e-14
0.10122439206998241,0.019999928861746685,2.5499999999999998,0,0,2.5499999999999998,2.5499796266274477,2.5278851822686565,2.5278851822686565,28,28.000005640715596,0,3.395122483541994e-14
0.1060735337262914,0.019999925453877687,2.5499999999999998,0,0,2.5499999999999998,2.5499786536965385,2.5273555344243213,2.5273555344243213,28,28.000006050425281,0,3.4410851785333081e-14
0.11092267538260039,0.01999992204600869,2.5500000000000003,0.99375000000000002,0.019874922533221137,2.5499999999999998,2.5499776809685213,2.5268382370461784,2.5268382370461784,28,28.000006469563868,4.4408920985006262e-16,3.5247996032498869e-14
0.11732131289497216,0.019999917549188437,2.5499999999999998,0,0,2.5499999999999998,2.5499763977174652,2.5261731737926079,2.5261731737926079,28,28.000007036708915,0,3.7126440427057423e-14
0.12371995040734393,0.019999913052368187,2.5499999999999998,0,0,2.5499999999999998,2.5499751148017995,2.525526551885346,2.525526551885346,28,28.000007619457151,0,3.9558578549313328e-14
0.1301185879197157,0.019999908555547934,2.5499999999999998,0,0,2.5499999999999998,2.5499738322124577,2.5248969335203371,2.5248969335203371,28,28.000008217394907,0,4.1495035639789006e-14
0.13651722543208747,0.019999904058727681,2.5499999999999998,0,0,2.5499999999999998,2.5499725499410641,2.5242830597844366,2.5242830597844366,28,28.000008830139507,0,4.2748997689831225e-14
0.14291586294445924,0.019999899561907432,2.5499999999999998,0,0,2.5499999999999998,2.5499712679798501,2.5236838207275771,2.5236838207275771,28,28.000009457335633,0,4.3540964372420223e-14
