time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.122481830186487218e-06,1.122481830186487218e-06,2.800000000000000000e+01,2.800000000000010303e+01,2.549997214633093812e+00,2.549999999999999822e+00,2.800000000000010303e+01,2.549997214633093812e+00,2.800000000000000000e+01,2.549999999727332156e+00
2.244963660372974437e-06,1.122481830186487218e-06,2.800000000000000000e+01,2.800000000000031619e+01,2.549994437126948732e+00,2.549999999999999822e+00,2.800000000000031619e+01,2.549994437126948732e+00,2.800000000000000000e+01,2.549999999454664490e+00
4.668649082400500502e-06,2.423685422027526066e-06,2.800000000000000000e+01,2.800000000000108713e+01,2.549988463883785084e+00,2.549999999999999822e+00,2.800000000000108713e+01,2.549988463883785084e+00,2.800000000000000000e+01,2.549999998865915440e+00
7.092334504428026568e-06,2.423685422027526066e-06,2.800000000000000000e+01,2.800000000000227018e+01,2.549982526087232859e+00,2.549999999999999822e+00,2.800000000000227018e+01,2.549982526087232859e+00,2.800000000000000000e+01,2.549999998277168167e+00
9.516019926455552633e-06,2.423685422027526066e-06,2.800000000000000000e+01,2.800000000000381917e+01,2.549976624615764464e+00,2.549999999999999822e+00,2.800000000000381917e+01,2.549976624615764464e+00,2.800000000000000000e+01,2.549999997688422226e+00
1.508376901290474145e-05,5.567749086449188815e-06,2.800000000000000000e+01,2.800000000000848743e+01,2.549963204624067892e+00,2.549999999999999822e+00,2.800000000000848743e+01,2.549963204624067892e+00,2.800000000000000711e+01,2.549999996335945429e+00
2.065151809935392857e-05,5.567749086449187121e-06,2.800000000000000000e+01,2.800000000001449507e+01,2.549949972861356606e+00,2.549999999999999822e+00,2.800000000001449507e+01,2.549949972861356606e+00,2.800000000000000711e+01,2.549999994983476181e+00
2.621926718580311569e-05,5.567749086449187121e-06,2.800000000000000000e+01,2.800000000002160405e+01,2.549936925557838574e+00,2.549999999999999822e+00,2.800000000002160405e+01,2.549936925557838574e+00,2.800000000000000711e+01,2.549999993631013595e+00
3.736063611574484439e-05,1.114136892994172870e-05,2.800000000000000000e+01,2.800000000003858247e+01,2.549911356109548333e+00,2.549999999999999822e+00,2.800000000003858247e+01,2.549911356109548333e+00,2.800000000000000711e+01,2.549999990924683324e+00
4.850200504568656971e-05,1.114136892994172531e-05,2.800000000000000000e+01,2.800000000005854162e+01,2.549886479962097496e+00,2.549999999999999822e+00,2.800000000005854162e+01,2.549886479962097496e+00,2.800000000000001776e+01,2.549999988218380143e+00
5.964337397562829502e-05,1.114136892994172531e-05,2.800000000000000000e+01,2.800000000008108714e+01,2.549862267773807201e+00,2.549999999999999822e+00,2.800000000008108714e+01,2.549862267773807201e+00,2.800000000000001776e+01,2.549999985512103606e+00
7.078474290557002033e-05,1.114136892994172531e-05,2.800000000000000000e+01,2.800000000010598455e+01,2.549838691837708726e+00,2.549999999999999822e+00,2.800000000010598455e+01,2.549838691837708726e+00,2.800000000000002842e+01,2.549999982805851495e+00
9.009595592535753119e-05,1.931121301978751086e-05,2.800000000000000000e+01,2.800000000015409185e+01,2.549799258328917517e+00,2.549999999999999822e+00,2.800000000015409185e+01,2.549799258328917517e+00,2.800000000000004619e+01,2.549999978115194299e+00
1.094071689451450420e-04,1.931121301978751086e-05,2.800000000000000000e+01,2.800000000020791902e+01,2.549761530488876105e+00,2.549999999999999822e+00,2.800000000020791902e+01,2.549761530488876105e+00,2.800000000000006040e+01,2.549999973424608157e+00
1.287183819649325529e-04,1.931121301978751086e-05,2.800000000000000000e+01,2.800000000026689762e+01,2.549725390837801697e+00,2.549999999999999822e+00,2.800000000026689762e+01,2.549725390837801697e+00,2.800000000000008882e+01,2.549999968734090849e+00
1.480295949847200638e-04,1.931121301978751086e-05,2.800000000000000000e+01,2.800000000033058356e+01,2.549690730741516198e+00,2.549999999999999822e+00,2.800000000033058356e+01,2.549690730741516198e+00,2.800000000000011724e+01,2.549999964043638823e+00
1.673408080045075746e-04,1.931121301978751086e-05,2.800000000000000000e+01,2.800000000039865355e+01,2.549657449862419156e+00,2.549999999999999822e+00,2.800000000039865355e+01,2.549657449862419156e+00,2.800000000000014566e+01,2.549999959353249857e+00
2.005329830199967939e-04,3.319217501548921926e-05,2.800000000000000000e+01,2.800000000052511950e+01,2.549603204472911333e+00,2.549999999999999822e+00,2.800000000052511950e+01,2.549603204472911333e+00,2.800000000000020961e+01,2.549999951291534561e+00
2.337251580354860131e-04,3.319217501548921926e-05,2.800000000000000000e+01,2.800000000066272676e+01,2.549552341599992555e+00,2.549999999999999822e+00,2.800000000066272676e+01,2.549552341599992555e+00,2.800000000000028422e+01,2.549999943229985799e+00
2.669173330509752324e-04,3.319217501548921926e-05,2.800000000000000000e+01,2.800000000081063689e+01,2.549504493704639163e+00,2.549999999999999822e+00,2.800000000081063689e+01,2.549504493704639163e+00,2.800000000000037303e+01,2.549999935168595133e+00
3.001095080664644517e-04,3.319217501548921926e-05,2.800000000000000000e+01,2.800000000096814645e+01,2.549459339252919232e+00,2.549999999999999822e+00,2.800000000096814645e+01,2.549459339252919232e+00,2.800000000000046541e+01,2.549999927107351905e+00
3.333016830819536709e-04,3.319217501548921926e-05,2.800000000000000000e+01,2.800000000113470833e+01,2.549416596481826947e+00,2.549999999999999822e+00,2.800000000113470833e+01,2.549416596481826947e+00,2.800000000000057554e+01,2.549999919046249008e+00
3.716979667157847768e-04,3.839628363383110589e-05,2.800000000000000000e+01,2.800000000133806921e+01,2.549369838468877436e+00,2.549999999999999822e+00,2.800000000133806921e+01,2.549369838468877436e+00,2.800000000000071410e+01,2.549999909721432978e+00
4.100942503496158827e-04,3.839628363383110589e-05,2.800000000000000000e+01,2.800000000155230850e+01,2.549325646357185615e+00,2.549999999999999822e+00,2.800000000155230850e+01,2.549325646357185615e+00,2.800000000000086686e+01,2.549999900396785257e+00
4.484905339834469886e-04,3.839628363383110589e-05,2.800000000000000000e+01,2.800000000177689685e+01,2.549283733563965981e+00,2.549999999999999822e+00,2.800000000177689685e+01,2.549283733563965981e+00,2.800000000000104095e+01,2.549999891072296077e+00
4.868868176172780945e-04,3.839628363383110589e-05,2.800000000000000000e+01,2.800000000201137595e+01,2.549243852650404207e+00,2.549999999999999822e+00,2.800000000201137595e+01,2.549243852650404207e+00,2.800000000000122213e+01,2.549999881747956554e+00
5.252831012511091462e-04,3.839628363383105168e-05,2.800000000000000000e+01,2.800000000225534791e+01,2.549205789596418636e+00,2.549999999999999822e+00,2.800000000225534791e+01,2.549205789596418636e+00,2.800000000000142464e+01,2.549999872423761360e+00
5.636793848849401978e-04,3.839628363383105168e-05,2.800000000000000000e+01,2.800000000250845034e+01,2.549169358741565805e+00,2.549999999999999822e+00,2.800000000250845034e+01,2.549169358741565805e+00,2.800000000000164135e+01,2.549999863099702946e+00
6.169113659035445948e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000287386115e+01,2.549121253997531866e+00,2.549999999999999822e+00,2.800000000287386115e+01,2.549121253997531866e+00,2.800000000000196110e+01,2.549999850173197746e+00
6.701433469221489917e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000325548299e+01,2.549075612351010101e+00,2.549999999999999822e+00,2.800000000325548299e+01,2.549075612351010101e+00,2.800000000000231637e+01,2.549999837246931911e+00
7.233753279407533886e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000365263020e+01,2.549032128539828523e+00,2.549999999999999822e+00,2.800000000365263020e+01,2.549032128539828523e+00,2.800000000000270006e+01,2.549999824320893449e+00
7.766073089593577856e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000406473077e+01,2.548990547666175832e+00,2.549999999999999822e+00,2.800000000406473077e+01,2.548990547666175832e+00,2.800000000000310862e+01,2.549999811395071703e+00
8.298392899779621825e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000449124471e+01,2.548950655860906966e+00,2.549999999999999822e+00,2.800000000449124471e+01,2.548950655860906966e+00,2.800000000000355271e+01,2.549999798469458678e+00
8.830712709965665794e-04,5.323198101860439693e-05,2.800000000000000000e+01,2.800000000493172081e+01,2.548912272494101572e+00,2.549999999999999822e+00,2.800000000493172081e+01,2.548912272494101572e+00,2.800000000000402167e+01,2.549999785544045938e+00
9.478283010298720968e-04,6.475703003330551735e-05,2.800000000000000000e+01,2.800000000548574874e+01,2.548867392647113039e+00,2.549999999999999822e+00,2.800000000548574874e+01,2.548867392647113039e+00,2.800000000000463274e+01,2.549999769820460838e+00
1.012585331063177614e-03,6.475703003330551735e-05,2.800000000000000000e+01,2.800000000605908923e+01,2.548824286623839974e+00,2.549999999999999822e+00,2.800000000605908923e+01,2.548824286623839974e+00,2.800000000000528644e+01,2.549999754097148852e+00
1.077342361096483240e-03,6.475703003330562577e-05,2.800000000000000000e+01,2.800000000665111344e+01,2.548782760595696750e+00,2.549999999999999822e+00,2.800000000665111344e+01,2.548782760595696750e+00,2.800000000000598632e+01,2.549999738374100211e+00
1.142099391129788866e-03,6.475703003330562577e-05,2.800000000000000000e+01,2.800000000726123872e+01,2.548742652191042346e+00,2.549999999999999822e+00,2.800000000726123872e+01,2.548742652191042346e+00,2.800000000000672529e+01,2.549999722651305589e+00
1.206856421163094491e-03,6.475703003330562577e-05,2.800000000000000000e+01,2.800000000788896415e+01,2.548703824275817098e+00,2.549999999999999822e+00,2.800000000788896415e+01,2.548703824275817098e+00,2.800000000000751044e+01,2.549999706928756105e+00
1.271613451196400117e-03,6.475703003330562577e-05,2.800000000000000000e+01,2.800000000853378879e+01,2.548666159925251140e+00,2.549999999999999822e+00,2.800000000853378879e+01,2.548666159925251140e+00,2.800000000000833822e+01,2.549999691206443320e+00
1.354603188413515489e-03,8.298973721711537174e-05,2.800000000000000000e+01,2.800000000938446831e+01,2.548619433135455026e+00,2.549999999999999822e+00,2.800000000938446831e+01,2.548619433135455026e+00,2.800000000000946088e+01,2.549999671057762374e+00
