time_s,radius_cm,C,point_type
21600,0,1.7196029343610519,fixed_radius
21600,0.10000000000000001,1.712221794301328,fixed_radius
21600,0.20000000000000001,1.690132313664793,fixed_radius
21600,0.29999999999999999,1.6534959482640397,fixed_radius
21600,0.40000000000000002,1.6025801502273225,fixed_radius
21600,0.5,1.5377541614855346,fixed_radius
21600,0.59999999999999998,1.4594794202247892,fixed_radius
21600,0.69999999999999996,1.3682899826968464,fixed_radius
21600,0.80000000000000004,1.2647550810409804,fixed_radius
21600,0.90000000000000013,1.1494088569896406,fixed_radius
21600,1,1.0226151093271381,fixed_radius
21600,1.1000000000000001,0.88428645144514983,fixed_radius
21600,1.2,0.73321269678457868,fixed_radius
21600,1.3,0.56500699411995037,fixed_radius
21600,1.3740000000000001,0.42068259330445074,dynamic_surface
43200,0,0.73768634859050475,fixed_radius
43200,0.10000000000000001,0.73432737857343855,fixed_radius
43200,0.20000000000000001,0.72427089764472008,fixed_radius
43200,0.29999999999999999,0.70757564954999341,fixed_radius
43200,0.40000000000000002,0.68433059494746507,fixed_radius
43200,0.5,0.65463962903088624,fixed_radius
43200,0.59999999999999998,0.61859545921402992,fixed_radius
43200,0.69999999999999996,0.57623470740767113,fixed_radius
43200,0.80000000000000004,0.52745594868619028,fixed_radius
43200,0.90000000000000013,0.47185359311693481,fixed_radius
43200,1,0.4083240639572327,fixed_radius
43200,1.1000000000000001,0.33387184492230609,fixed_radius
43200,1.2,0.23775701916547312,fixed_radius
43200,1.248,0.16694746989837017,dynamic_surface
86400,0,0.2851207000761331,fixed_radius
86400,0.10000000000000001,0.28417138866547559,fixed_radius
86400,0.20000000000000001,0.28131795560857442,fixed_radius
86400,0.29999999999999999,0.27654256639627744,fixed_radius
86400,0.40000000000000002,0.26981066968622586,fixed_radius
86400,0.5,0.26106227499067619,fixed_radius
86400,0.59999999999999998,0.25019589189661545,fixed_radius
86400,0.69999999999999996,0.23703830333690654,fixed_radius
86400,0.80000000000000004,0.22128325438176738,fixed_radius
86400,0.90000000000000013,0.20235051357864586,fixed_radius
86400,1,0.17899006119752664,fixed_radius
86400,1.1000000000000001,0.14768033233637728,fixed_radius
86400,1.2,0.079101446766023195,fixed_radius
86400,1.204,0.06732456066110766,dynamic_surface
129600,0,0.1928192599600112,fixed_radius
129600,0.10000000000000001,0.19230656494749238,fixed_radius
129600,0.20000000000000001,0.19076231186373058,fixed_radius
129600,0.29999999999999999,0.18816705604820771,fixed_radius
129600,0.40000000000000002,0.18448498675428532,fixed_radius
129600,0.5,0.1796577363517966,fixed_radius
129600,0.59999999999999998,0.17359288111459162,fixed_radius
129600,0.69999999999999996,0.16614208470974709,fixed_radius
129600,0.80000000000000004,0.15705627718180371,fixed_radius
129600,0.90000000000000013,0.14588128976616374,fixed_radius
129600,1,0.13165955044623665,fixed_radius
129600,1.1000000000000001,0.11168345281355836,fixed_radius
129600,1.2,0.05595287927281594,dynamic_surface
183931.23846132591,0,0.15000000000000011,fixed_radius
183931.23846132591,0.10000000000000001,0.14966227503920271,fixed_radius
183931.23846132591,0.20000000000000001,0.14864372912380572,fixed_radius
183931.23846132591,0.29999999999999999,0.14692752193787195,fixed_radius
183931.23846132591,0.40000000000000002,0.14448295352919518,fixed_radius
183931.23846132591,0.5,0.14126066927926054,fixed_radius
183931.23846132591,0.59999999999999998,0.13718374138917866,fixed_radius
183931.23846132591,0.69999999999999996,0.1321306929821788,fixed_radius
183931.23846132591,0.80000000000000004,0.12590063658378411,fixed_radius
183931.23846132591,0.90000000000000013,0.11813199154366925,fixed_radius
183931.23846132591,1,0.1080698780472984,fixed_radius
183931.23846132591,1.1000000000000001,0.09359356757907944,fixed_radius
183931.23846132591,1.2,0.052607501028881863,dynamic_surface
