layer,comparison,root_difference_s,max_abs_C,max_abs_T_C,dynamic_surface_included
空间,N=5120→10240,0.3208301457343623,6.6575294344478619e-06,2.2330100790668439e-07,true
空间,N=10240→20480,0.080193088098894805,1.7842876055759738e-06,5.2768868386010581e-08,true
时间,BDF 基准→收紧,0.0046581917849835008,3.0116233951105187e-09,1.6817772063859593e-08,true
方法,N=5120 BDF→Radau,0.0046461302263196558,3.6220462185099223e-09,1.6345573783382861e-08,true
