time_s,radius_cm,numerical,series,absolute_error
1.000000000000000000e+01,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000008704e+00,8.881784197001252323e-15
1.000000000000000000e+01,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000014921e+00,1.509903313490212895e-14
1.000000000000000000e+01,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000001599e+00,1.776356839400250465e-15
1.000000000000000000e+01,6.000000000000000888e-01,2.549999999999999822e+00,2.549999999999998490e+00,1.332267629550187849e-15
1.000000000000000000e+01,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000008260e+00,8.437694987151189707e-15
1.000000000000000000e+01,8.000000000000000444e-01,2.549999999999999822e+00,2.549999999999999378e+00,4.440892098500626162e-16
1.000000000000000000e+01,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999992717e+00,7.105427357601001859e-15
1.000000000000000000e+01,1.000000000000000000e+00,2.549999999999999822e+00,2.549999999999997158e+00,2.664535259100375697e-15
1.000000000000000000e+01,1.100000000000000089e+00,2.549999999999999822e+00,2.549999999999999378e+00,4.440892098500626162e-16
1.000000000000000000e+01,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999993161e+00,6.661338147750939243e-15
1.000000000000000000e+01,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999991829e+00,7.993605777301127091e-15
1.000000000000000000e+01,1.400000000000000133e+00,2.549999999999999822e+00,2.549999999999997602e+00,2.220446049250313081e-15
1.000000000000000000e+01,1.500000000000000000e+00,2.549999999999999822e+00,2.549999999999990941e+00,8.881784197001252323e-15
1.000000000000000000e+01,1.600000000000000089e+00,2.549999999999999822e+00,2.549999999999993161e+00,6.661338147750939243e-15
1.000000000000000000e+01,1.700000000000000178e+00,2.549999999999999822e+00,2.549999999999998046e+00,1.776356839400250465e-15
1.000000000000000000e+01,1.800000000000000044e+00,2.549999999996021227e+00,2.549999999996021671e+00,4.440892098500626162e-16
1.000000000000000000e+01,1.900000000000000133e+00,2.549948262881692074e+00,2.549948264784199559e+00,1.902507484885518352e-09
1.000000000000000000e+01,2.000000000000000000e+00,2.449930928107734385e+00,2.449930818995185167e+00,1.091125492180822221e-07
3.000000000000000000e+01,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000029132e+00,2.930988785010413267e-14
3.000000000000000000e+01,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000015365e+00,1.554312234475219157e-14
3.000000000000000000e+01,2.000000000000000111e-01,2.549999999999999822e+00,2.550000000000002487e+00,2.664535259100375697e-15
3.000000000000000000e+01,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000007816e+00,7.993605777301127091e-15
3.000000000000000000e+01,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000015365e+00,1.554312234475219157e-14
3.000000000000000000e+01,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000006040e+00,6.217248937900876626e-15
3.000000000000000000e+01,6.000000000000000888e-01,2.549999999999999822e+00,2.549999999999999822e+00,0.000000000000000000e+00
3.000000000000000000e+01,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000004707e+00,4.884981308350688778e-15
3.000000000000000000e+01,8.000000000000000444e-01,2.549999999999999822e+00,2.550000000000001155e+00,1.332267629550187849e-15
3.000000000000000000e+01,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999996270e+00,3.552713678800500929e-15
3.000000000000000000e+01,1.000000000000000000e+00,2.549999999999999822e+00,2.549999999999996714e+00,3.108624468950438313e-15
3.000000000000000000e+01,1.100000000000000089e+00,2.549999999999999822e+00,2.549999999999996714e+00,3.108624468950438313e-15
