time_s,Cmax,argmax_radius_m,center_C,mean_C,surface_C,Cmin,Tmin_C,Tmax_C,radial_increase,relative_balance
9.1780972795655989e-06,2.5499999999999998,0,2.5499999999999998,2.5499999983278783,2.5499914869334308,2.5499914869334308,28,28.000000000002107,0,9.7502201912057179e-16
1.8356194559131198e-05,2.5499999999999998,0,2.5499999999999998,2.5499999966557612,2.5499830296225507,2.5499830296225507,28,28.00000000000637,0,1.5093153317480786e-15
3.6568628618052475e-05,2.5499999999999998,0,2.5499999999999998,2.549999993337734,2.5499663930030168,2.5499663930030168,28,28.000000000019686,0,2.1332464650270583e-15
5.4781062676973748e-05,2.5499999999999998,0,2.5499999999999998,2.5499999900197268,2.5499499649819475,2.5499499649819475,28,28.000000000039108,0,2.2402263324152061e-15
7.2993496735895022e-05,2.5499999999999998,0,2.5499999999999998,2.5499999867017409,2.5499337492661049,2.5499337492661049,28,28.000000000063736,0,2.209362896327443e-15
0.00012313779192947328,2.5499999999999998,0,2.5499999999999998,2.5499999775664381,2.54989017002459,2.54989017002459,28,28.000000000151694,0,1.9524070165113994e-15
0.00017328208712305153,2.5499999999999998,0,2.5499999999999998,2.5499999684312891,2.5498481051748545,2.5498481051748545,28,28.000000000264883,0,1.5697537762315837e-15
0.00022342638231662978,2.5499999999999998,0,2.5499999999999998,2.5499999592962901,2.5498074779533138,2.5498074779533138,28,28.000000000398146,0,1.2623149457316157e-15
0.00030956238266103295,2.5499999999999998,0,2.5499999999999998,2.5499999436048633,2.5497408399097088,2.5497408399097088,28,28.000000000666642,0,9.5460253636796518e-16
0.00039569838300543611,2.5499999999999998,0,2.5499999999999998,2.5499999279138392,2.5496778729102734,2.5496778729102734,28,28.000000000976883,0,1.0523816958145388e-15
0.00048183438334983928,2.5499999999999998,0,2.5499999999999998,2.5499999122231953,2.549618248186579,2.549618248186579,28,28.000000001324032,0,1.1433480222001192e-15
0.0005679703836942425,2.5499999999999998,0,2.5499999999999998,2.549999896532912,2.5495616744861533,2.5495616744861533,28,28.000000001704883,0,1.4124750264968684e-15
0.00071034602843493533,2.5499999999999998,0,2.5499999999999998,2.5499998705989193,2.549474166289643,2.549474166289643,28,28.000000002400778,0,1.1746014100621711e-15
0.00085272167317562817,2.5499999999999998,0,2.5499999999999998,2.5499998446657886,2.5493932720386985,2.5493932720386985,28,28.000000003172158,0,9.6399444469058992e-16
0.000995097317916321,2.5499999999999998,0,2.5499999999999998,2.5499998187334572,2.5493181302018262,2.5493181302018262,28,28.000000004012335,0,8.2657421469195748e-16
0.0011374729626570138,2.5499999999999998,0,2.5499999999999998,2.5499997928018705,2.5492480039543355,2.5492480039543355,28,28.000000004915872,0,8.4900633839473554e-16
0.0012798486073977067,2.5499999999999998,0,2.5499999999999998,2.5499997668709793,2.5491822643347701,2.5491822643347701,28,28.000000005878441,0,8.122120352337785e-16
0.0014641459205428343,2.5499999999999998,0,2.5499999999999998,2.5499997333058557,2.5491028176285102,2.5491028176285102,28,28.000000007206612,0,8.5404667356592429e-16
0.0016484432336879619,2.5499999999999998,0,2.5499999999999998,2.5499996997417482,2.5490288653974704,2.5490288653974704,28,28.000000008622099,0,5.8057782465691064e-16
0.0018327405468330895,2.5499999999999998,0,2.5499999999999998,2.5499996661785906,2.5489596191186794,2.5489596191186794,28,28.000000010119837,0,4.8192524244891977e-16
0.0020170378599782173,2.5499999999999998,0,2.5499999999999998,2.5499996326163243,2.548894427727971,2.548894427727971,28,28.000000011695448,0,4.2743805004897673e-16
0.0022013351731233451,2.5499999999999998,0,2.5499999999999998,2.5499995990548991,2.5488327517992038,2.5488327517992038,28,28.000000013345215,0,3.1000698333868199e-16
0.0024226817774704893,2.5499999999999998,0,2.5499999999999998,2.5499995587476714,2.5487626964699266,2.5487626964699266,28,28.000000015420202,0,3.194047521784777e-16
0.0026440283818176336,2.5499999999999998,0,2.5499999999999998,2.5499995184415285,2.5486964365078482,2.5486964365078482,28,28.000000017592807,0,1.4676661343666752e-16
0.0028653749861647778,2.5499999999999998,0,2.5499999999999998,2.549999478136415,2.5486334600120877,2.5486334600120877,28,28.00000001985882,0,-6.5026975576826528e-17
0.0030867215905119221,2.5499999999999998,0,2.5499999999999998,2.5499994378322821,2.5485733473078027,2.5485733473078027,28,28.000000022214515,0,-9.6158752665842052e-17
0.0033080681948590663,2.5499999999999998,0,2.5499999999999998,2.5499993975290871,2.5485157522622748,2.5485157522622748,28,28.000000024656593,0,-8.2491687818292768e-17
0.0035945993028072098,2.5499999999999998,0,2.5499999999999998,2.5499993453583087,2.5484444712056642,2.5484444712056642,28,28.000000027941343,0,-2.7705179083146123e-16
0.0038811304107553533,2.5499999999999998,0,2.5499999999999998,2.549999293188967,2.5483764269283946,2.5483764269283946,28,28.000000031360194,0,-4.9882608662397053e-16
0.0041676615187034964,2.5499999999999998,0,2.5499999999999998,2.5499992410209993,2.5483112152371388,2.5483112152371388,28,28.000000034908094,0,-6.1184702744520298e-16
0.0044541926266516395,2.5499999999999998,0,2.5499999999999998,2.549999188854351,2.5482485053185777,2.5482485053185777,28,28.000000038580485,0,-5.9969703390011945e-16
0.0047407237345997826,2.5499999999999998,0,2.5499999999999998,2.5499991366889727,2.5481880239428847,2.5481880239428847,28,28.000000042373276,0,-7.1672487444206161e-16
0.005127321907157637,2.5499999999999998,0,2.5499999999999998,2.5499990663074876,2.5481095542250691,2.5481095542250691,28,28.000000047674941,0,-8.6833920442774518e-16
0.0055139200797154914,2.5499999999999998,0,2.5499999999999998,2.5499989959281417,2.5480342776585752,2.5480342776585752,28,28.000000053180855,0,-9.8088772222406263e-16
0.0059005182522733459,2.5499999999999998,0,2.5499999999999998,2.5499989255508511,2.5479618293380999,2.5479618293380999,28,28.000000058883707,0,-1.0052457256108488e-15
0.0062871164248312003,2.5499999999999998,0,2.5499999999999998,2.549998855175541,2.5478919074211079,2.5478919074211079,28,28.000000064776909,0,-1.1346273588799906e-15
0.0066737145973890548,2.5499999999999998,0,2.5499999999999998,2.5499987848021455,2.5478242596753389,2.5478242596753389,28,28.000000070854476,0,-1.1954809040871364e-15
0.0072082989619204774,2.5499999999999998,0,2.5499999999999998,2.5499986874935092,2.5477340738143943,2.5477340738143943,28,28.000000079552173,0,-1.3796280498710635e-15
0.0077428833264519001,2.5499999999999998,0,2.5499999999999998,2.549998590188276,2.5476473731958666,2.5476473731958666,28,28.000000088579053,0,-1.7752054245371023e-15
0.0082774676909833228,2.5499999999999998,0,2.5499999999999998,2.5499984928863193,2.5475637821028054,2.5475637821028054,28,28.000000097923539,0,-1.8223836445118631e-15
0.0088120520555147464,2.5499999999999998,0,2.5499999999999998,2.5499983955875258,2.5474829859808765,2.5474829859808765,28,28.000000107575147,0,-1.958896700332914e-15
0.0093466364200461699,2.5499999999999998,0,2.5499999999999998,2.5499982982917926,2.5474047191593274,2.5474047191593274,28,28.000000117524376,0,-2.1205747604186366e-15
0.010079710296291133,2.5499999999999998,0,2.5499999999999998,2.5499981648752641,2.547301096704659,2.547301096704659,28,28.000000131635847,0,-2.2304480751448326e-15
0.010812784172536095,2.5499999999999998,0,2.5499999999999998,2.5499980314641011,2.5472013263766997,2.5472013263766997,28,28.000000146270537,0,-2.555969577759826e-15
0.011545858048781058,2.5499999999999998,0,2.5499999999999998,2.5499978980581117,2.5471050096367729,2.5471050096367729,28,28.000000161410359,0,-2.852478156530395e-15
0.012278931925026021,2.5499999999999998,0,2.5499999999999998,2.5499977646571228,2.5470118101720272,2.5470118101720272,28,28.000000177038952,0,-3.1504435316078328e-15
0.013012005801270984,2.5499999999999998,0,2.5499999999999998,2.5499976312609789,2.5469214419682209,2.5469214419682209,28,28.000000193141421,0,-2.8712222604075336e-15
0.013999961015907107,2.5499999999999998,0,2.5499999999999998,2.5499974514919428,2.5468037053838484,2.5468037053838484,28,28.000000215568324,0,-3.4249432184635003e-15
0.014987916230543231,2.5499999999999998,0,2.5499999999999998,2.5499972717311308,2.5466901685364585,2.5466901685364585,28,28.000000238801192,0,-3.7050588053907675e-15
0.015975871445179354,2.5499999999999998,0,2.5499999999999998,2.5499970919782586,2.5465804138201986,2.5465804138201986,28,28.000000262812947,0,-4.0607223232024028e-15
0.016963826659815478,2.5499999999999998,0,2.5499999999999998,2.5499969122330706,2.546474086608296,2.546474086608296,28,28.000000287579017,0,-4.2146406552146578e-15
0.017951781874451601,2.5499999999999998,0,2.5499999999999998,2.5499967324953334,2.5463708835276622,2.5463708835276622,28,28.000000313077017,0,-4.3882029567770804e-15
0.01926590375259379,2.5499999999999998,0,2.5499999999999998,2.5499964934295933,2.5462380053281013,2.5462380053281013,28,28.000000348092176,0,-4.9065888280135782e-15
0.020580025630735979,2.5499999999999998,0,2.5499999999999998,2.5499962543762078,2.5461096771155831,2.5461096771155831,28,28.000000384322334,0,-5.4306168002298256e-15
0.021894147508878168,2.5499999999999998,0,2.5499999999999998,2.5499960153347669,2.545985463531633,2.545985463531633,28,28.000000421727975,0,-5.935257391099862e-15
0.023208269387020357,2.5499999999999998,0,2.5499999999999998,2.5499957763049008,2.5458649927393475,2.5458649927393475,28,28.000000460273135,0,-6.1751885290351027e-15
0.024522391265162546,2.5499999999999998,0,2.5499999999999998,2.5499955372862702,2.5457479448936775,2.5457479448936775,28,28.000000499924919,0,-6.1273154687203023e-15
0.02625113341462992,2.5499999999999998,0,2.5499999999999998,2.5499952228711562,2.5455987186557603,2.5455987186557603,28,28.000000553722181,0,-7.0245904785559206e-15
0.027979875564097294,2.5499999999999998,0,2.5499999999999998,2.5499949084743081,2.5454544043515939,2.5454544043515939,28,28.000000609319905,0,-7.6566908725356877e-15
0.029708617713564669,2.5499999999999998,0,2.5499999999999998,2.5499945940951423,2.5453145490919482,2.5453145490919482,28,28.000000666661428,0,-8.0499791525884136e-15
0.031437359863032047,2.5499999999999998,0,2.5499999999999998,2.549994279733129,2.545178763972654,2.545178763972654,28,28.000000725695056,0,-8.4258336323085502e-15
0.033166102012499421,2.5499999999999998,0,2.5499999999999998,2.5499939653877828,2.5450467127499738,2.5450467127499738,28,28.000000786373381,0,-8.5364840685518591e-15
0.035417454184130809,2.5499999999999998,0,2.5499999999999998,2.5499935560380425,2.5448798606448699,2.5448798606448699,28,28.000000867789147,0,-9.2741106206695688e-15
0.037668806355762197,2.5499999999999998,0,2.5499999999999998,2.5499931467149142,2.5447182954342646,2.5447182954342646,28,28.000000951832543,0,-1.0410785006166635e-14
0.039920158527393584,2.5499999999999998,0,2.5499999999999998,2.5499927374175835,2.5445615468027274,2.5445615468027274,28,28.000001038423598,0,-1.0857092566286748e-14
0.042171510699024972,2.5499999999999998,0,2.5499999999999998,2.5499923281453003,2.544409208821159,2.544409208821159,28,28.000001127489117,0,-1.1461895227892099e-14
0.04442286287065636,2.5499999999999998,0,2.5499999999999998,2.5499919188973807,2.5442609288400768,2.5442609288400768,28,28.000001218961824,0,-1.1699443244802264e-14
0.047327445193628234,2.5499999999999998,0,2.5499999999999998,2.5499913909410905,2.5440751249487357,2.5440751249487357,28,28.000001340431375,0,-1.264448599504603e-14
0.050232027516600108,2.5499999999999998,0,2.5499999999999998,2.5499908630230577,2.5438949958677433,2.5438949958677433,28,28.000001465682509,0,-1.3909148332008253e-14
0.053136609839571983,2.5499999999999998,0,2.5499999999999998,2.5499903351421498,2.5437200539859051,2.5437200539859051,28,28.000001594603869,0,-1.4880008398781677e-14
0.056041192162543857,2.5499999999999998,0,2.5499999999999998,2.5499898072973282,2.5435498764202906,2.5435498764202906,28,28.000001727093277,0,-1.5252890430646124e-14
0.058945774485515731,2.5499999999999998,0,2.5499999999999998,2.549989279487634,2.543384094135964,2.543384094135964,28,28.000001863056553,0,-1.5609344622168743e-14
0.06266031989321949,2.5499999999999998,0,2.5499999999999998,2.5499886045442999,2.5431779748891645,2.5431779748891645,28,28.000002041857993,0,-1.6958682615258689e-14
0.06637486530092325,2.5499999999999998,0,2.5499999999999998,2.5499879296552739,2.5429779308139957,2.5429779308139957,28,28.000002226031434,0,-1.8357524062120364e-14
0.070089410708627009,2.5499999999999998,0,2.5499999999999998,2.5499872548190008,2.5427834571962973,2.5427834571962973,28,28.000002415423783,0,-1.9412584812893459e-14
0.073803956116330768,2.5499999999999998,0,2.5499999999999998,2.5499865800340511,2.5425941143293582,2.5425941143293582,28,28.000002609894171,0,-2.0165294827721e-14
0.077518501524034528,2.5499999999999998,0,2.5499999999999998,2.5499859052991054,2.5424095168649625,2.5424095168649625,28,28.000002809312452,0,-2.0681907555725129e-14
0.082229754763062365,2.5499999999999998,0,2.5499999999999998,2.5499850495854819,2.542181684836613,2.542181684836613,28,28.000003069168908,0,-2.2317689881211551e-14
0.086941008002090203,2.5499999999999998,0,2.5499999999999998,2.5499841939480361,2.5419603402520359,2.5419603402520359,28,28.000003336564433,0,-2.3929731860680421e-14
0.091652261241118041,2.5499999999999998,0,2.5499999999999998,2.5499833383846573,2.541744961536665,2.541744961536665,28,28.000003611290985,0,-2.5461620228445016e-14
0.096363514480145879,2.5499999999999998,0,2.5499999999999998,2.549982482893403,2.5415350923376447,2.5415350923376447,28,28.00000389315661,0,-2.6274364655161586e-14
0.10107476771917372,2.5499999999999998,0,2.5499999999999998,2.5499816274724725,2.5413303311098034,2.5413303311098034,28,28.00000418198357,0,-2.6943199754916408e-14
0.10700381019307727,2.5499999999999998,0,2.5499999999999998,2.5499805510352593,2.5410793564877574,2.5410793564877574,28,28.000004555107029,0,-2.8801844165623383e-14
0.11293285266698082,2.5499999999999998,0,2.5499999999999998,2.5499794747037057,2.5408352930469817,2.5408352930469817,28,28.000004938690793,0,-3.0968281873334478e-14
0.11886189514088437,2.5499999999999998,0,2.5499999999999998,2.5499783984749786,2.5405976026235764,2.5405976026235764,28,28.000005332455157,0,-3.2930467110311554e-14
0.12479093761478792,2.5499999999999998,0,2.5499999999999998,2.5499773223464639,2.5403658124263697,2.5403658124263697,28,28.000005736141418,0,-3.392506700682848e-14
0.13071998008869146,2.5499999999999998,0,2.5499999999999998,2.5499762463157309,2.5401395048603299,2.5401395048603299,28,28.00000614950946,0,-3.4661964579984447e-14
0.13812696748575418,2.5499999999999998,0,2.5499999999999998,2.5499749021944997,2.5398639273563455,2.5398639273563455,28,28.000006679182295,0,-3.7209017072314229e-14
0.1455339548828169,2.5499999999999998,0,2.5499999999999998,2.5499735582182748,2.539595695832725,2.539595695832725,28,28.00000722321364,0,-3.9919778001508622e-14
0.15294094227987962,2.5499999999999998,0,2.5499999999999998,2.5499722143832919,2.5393342558250493,2.5393342558250493,28,28.000007781231183,0,-4.2076174178903925e-14
0.16034792967694234,2.5499999999999998,0,2.5499999999999998,2.5499708706860624,2.5390791183328405,2.5390791183328405,28,28.000008352889772,0,-4.3484852711556713e-14
0.16775491707400506,2.5499999999999998,0,2.5499999999999998,2.5499695271233414,2.5388298498815933,2.5388298498815933,28,28.000008937868369,0,-4.4596545628214675e-14
0.17694425411785164,2.5499999999999998,0,2.5499999999999998,2.5499678604404115,2.5385281806723219,2.5385281806723219,28,28.000009681676119,0,-4.745752991602954e-14
0.18613359116169823,2.5499999999999998,0,2.5499999999999998,2.5499661939545026,2.5382343029312939,2.5382343029312939,28,28.000010444994803,0,-5.0753429660728108e-14
0.19532292820554481,2.5499999999999998,0,2.5499999999999998,2.5499645276606553,2.5379476461931496,2.5379476461931496,28,28.000011227333498,0,-5.3487740947088837e-14
0.2045122652493914,2.5499999999999998,0,2.5499999999999998,2.5499628615542633,2.5376677054920518,2.5376677054920518,28,28.000012028236082,0,-5.5237678693359134e-14
0.21370160229323798,2.5499999999999998,0,2.5499999999999998,2.5499611956310333,2.5373940316622563,2.5373940316622563,28,28.000012847277421,0,-5.6397975714389845e-14
0.22511074670662376,2.5499999999999998,0,2.5499999999999998,2.5499591275306144,2.5370623703226438,2.5370623703226438,28,28.000013888814816,0,-5.6808717155052116e-14
0.23651989112000954,2.5499999999999998,0,2.5499999999999998,2.549957059699226,2.5367390739019662,2.5367390739019662,28,28.000014956994637,0,-5.5888652776003146e-14
0.24792903553339532,2.5499999999999998,0,2.5499999999999998,2.549954992130246,2.5364235425049242,2.5364235425049242,28,28.00001605116093,0,-5.4730924734656311e-14
0.2593381799467811,2.5499999999999998,0,2.5499999999999998,2.5499529248175166,2.5361152447695385,2.5361152447695385,28,28.000017170703693,0,-5.390159448773793e-14
0.27074732436016691,2.5499999999999998,0,2.5499999999999998,2.5499508577552934,2.5358137077465002,2.5358137077465002,28,28.000018315053829,0,-5.3464452857141032e-14
0.28215646877355272,2.5499999999999998,0,2.5499999999999998,2.5499487909382008,2.5355185080742122,2.5355185080742122,28,28.000019483678731,0,-5.3091579085661419e-14
0.29912862618592206,2.5499999999999998,0,2.5499999999999998,2.5499457167994235,2.5350902878550174,2.5350902878550174,28,28.000021265963614,0,-5.0734796297635172e-14
0.31610078359829141,2.5499999999999998,0,2.5499999999999998,2.5499426431765819,2.5346741479360229,2.5346741479360229,28,28.000023099338893,0,-4.6893502579068986e-14
0.33307294101066076,2.5499999999999998,0,2.5499999999999998,2.5499395700555114,2.5342691252090344,2.5342691252090344,28,28.000024982400785,0,-4.3210320886641292e-14
0.35004509842303011,2.5499999999999998,0,2.5499999999999998,2.5499364974231491,2.5338743787087799,2.5338743787087799,28,28.000026913854612,0,-4.108586142211668e-14
0.36701725583539946,2.5499999999999998,0,2.5499999999999998,2.5499334252674002,2.5334891693149766,2.5334891693149766,28,28.000028892501518,0,-3.9838283109816668e-14
0.38398941324776881,2.5499999999999998,0,2.5499999999999998,2.5499303535770195,2.5331128425136122,2.5331128425136122,28,28.000030917226912,0,-3.8632832760178279e-14
0.40555421920301299,2.5499999999999998,0,2.5499999999999998,2.5499264513452222,2.5326465852292688,2.5326465852292688,28,28.000033554681728,0,-3.5187219735622836e-14
0.42711902515825717,2.5499999999999998,0,2.5499999999999998,2.5499225498278744,2.5321926744834604,2.5321926744834604,28,28.000036262873355,0,-3.0702780714140596e-14
