radius_cm,C
0,0.1500000000000222
4.8828125000000003e-05,0.14999999997832283
9.7656250000000005e-05,0.14999999991322463
0.00014648437499999999,0.14999999980472772
0.00019531250000000001,0.14999999965283206
0.000244140625,0.14999999945753759
0.00029296874999999999,0.14999999921884435
0.00034179687500000003,0.14999999893675234
0.00039062500000000002,0.14999999861126159
0.00043945312500000007,0.14999999824237203
0.00048828125,0.14999999783008372
0.00053710937499999993,0.14999999737439662
0.00058593749999999998,0.14999999687531074
0.00063476562500000002,0.14999999633282615
0.00068359375000000007,0.1499999957469427
0.000732421875,0.14999999511766055
0.00078125000000000004,0.14999999444497961
0.00083007812500000009,0.14999999372889977
0.00087890625000000013,0.14999999296942129
0.00092773437499999996,0.14999999216654394
0.0009765625,0.14999999132026789
0.001025390625,0.14999999043059303
0.0010742187499999999,0.14999998949751936
0.0011230468749999999,0.14999998852104687
0.001171875,0.14999998750117563
0.001220703125,0.1499999864379056
0.00126953125,0.14999998533123682
0.0013183593750000001,0.14999998418116911
0.0013671875000000001,0.14999998298770278
0.0014160156250000002,0.14999998175083754
0.00146484375,0.14999998047057353
0.001513671875,0.14999997914691068
0.0015625000000000001,0.14999997777984905
0.0016113281250000001,0.14999997636938861
0.0016601562500000002,0.1499999749155293
0.0017089843750000002,0.14999997341827126
0.0017578125000000003,0.14999997187761435
0.0018066406249999999,0.14999997029355869
0.0018554687499999999,0.14999996866610413
0.001904296875,0.14999996699525081
0.001953125,0.1499999652809986
0.0020019531250000003,0.14999996352334757
0.0020507812500000001,0.14999996172229768
0.0020996093750000003,0.149999959877849
0.0021484374999999997,0.14999995799000149
0.002197265625,0.14999995605875507
0.0022460937499999998,0.14999995408410985
0.0022949218750000001,0.14999995206606573
0.0023437499999999999,0.1499999500046228
0.0023925781250000002,0.14999994789978099
0.00244140625,0.1499999457515403
0.0024902343750000003,0.14999994355990076
0.0025390625000000001,0.14999994132486236
0.0025878906249999999,0.14999993904642508
0.0026367187500000002,0.14999993672458883
0.002685546875,0.14999993435935383
0.0027343750000000003,0.14999993195071984
0.0027832031250000001,0.14999992949868701
