time_s,radius_cm,C
21600,0,1.0169683555321687
21600,0.10000000000000001,1.0158149965299219
21600,0.20000000000000001,1.0123550538265291
21600,0.29999999999999999,1.0065888566171426
21600,0.40000000000000002,0.99851670340734755
21600,0.5,0.98813847071847383
21600,0.59999999999999998,0.9754530311112154
21600,0.69999999999999996,0.96045744121873389
21600,0.80000000000000004,0.94314584075423713
21600,0.90000000000000002,0.92350797499206416
21600,1,0.9015272105524007
21600,1.1000000000000001,0.87717784818010158
21600,1.2,0.85042143026766159
21600,1.3,0.82120156519853704
21600,1.3999999999999999,0.78943648786685805
21600,1.5,0.75500803061728128
21600,1.6000000000000001,0.71774464528941995
21600,1.7,0.67739403248243535
21600,1.8,0.63357639913187946
21600,1.8999999999999999,0.58569851138195927
21600,2,0.53277927464042962
43200,0,0.45614938224659679
43200,0.10000000000000001,0.4556329079475358
43200,0.20000000000000001,0.45408209090908458
43200,0.29999999999999999,0.45149266016706358
43200,0.40000000000000002,0.44785719417552322
43200,0.5,0.4431646360485253
43200,0.59999999999999998,0.43739954990980756
43200,0.69999999999999996,0.43054103953426726
43200,0.80000000000000004,0.42256120375536077
43200,0.90000000000000002,0.4134229284293181
43200,1,0.40307668947714353
43200,1.1000000000000001,0.39145582138562246
43200,1.2,0.37846929877177016
43200,1.3,0.36399028235844438
43200,1.3999999999999999,0.34783701081635632
43200,1.5,0.32973880650048049
43200,1.6000000000000001,0.30927025168660699
43200,1.7,0.28570797213157617
43200,1.8,0.25766046778970209
43200,1.8999999999999999,0.22179079663385032
43200,2,0.16417574420792003
86400,0,0.23779952479653388
86400,0.10000000000000001,0.2375993711273065
86400,0.20000000000000001,0.23699782651192422
86400,0.29999999999999999,0.23599158787305113
86400,0.40000000000000002,0.23457497078498232
86400,0.5,0.23273962171939008
86400,0.59999999999999998,0.23047407406659401
86400,0.69999999999999996,0.22776309759456662
86400,0.80000000000000004,0.22458676033816696
86400,0.90000000000000002,0.22091907202322936
86400,1,0.21672599283546129
86400,1.1000000000000001,0.21196243815914681
86400,1.2,0.20656761960018061
86400,1.3,0.20045747696040703
86400,1.3999999999999999,0.19351168171378402
86400,1.5,0.1855496458410108
86400,1.6000000000000001,0.17628173111799919
86400,1.7,0.16519547799791029
86400,1.8,0.15122800902861969
86400,1.8999999999999999,0.13137647824510429
86400,2,0.066461631033183491
129600,0,0.18587795410670613
129600,0.10000000000000001,0.18574586628437245
129600,0.20000000000000001,0.18534871660281502
129600,0.29999999999999999,0.18468380612489904
129600,0.40000000000000002,0.18374649834241338
129600,0.5,0.18252999716517976
129600,0.59999999999999998,0.1810250041934684
129600,0.69999999999999996,0.17921921618145892
129600,0.80000000000000004,0.17709659973011621
129600,0.90000000000000002,0.17463634137118769
129600,1,0.1718113046422523
129600,1.1000000000000001,0.16858570602666614
129600,1.2,0.16491149433988603
129600,1.3,0.16072245872348165
129600,1.3999999999999999,0.1559240886428479
129600,1.5,0.15037480745235873
129600,1.6000000000000001,0.14384768519371011
129600,1.7,0.13594079117092459
129600,1.8,0.12581757976041075
129600,1.8999999999999999,0.11109532208214591
129600,2,0.056635865134583303
172800,0,0.16182769919667692
172800,0.10000000000000001,0.16172372253543832
172800,0.20000000000000001,0.16141102191551351
172800,0.29999999999999999,0.16088725096264483
172800,0.40000000000000002,0.16014838076371676
172800,0.5,0.15918850991452618
172800,0.59999999999999998,0.15799957120313193
172800,0.69999999999999996,0.15657090136970694
172800,0.80000000000000004,0.15488861986747843
172800,0.90000000000000002,0.15293472910962999
172800,1,0.15068579139027008
172800,1.1000000000000001,0.14811093452197113
172800,1.2,0.1451687422411605
172800,1.3,0.14180218888590984
172800,1.3999999999999999,0.13792991221146725
172800,1.5,0.13343004009327536
172800,1.6000000000000001,0.12810714074681603
172800,1.7,0.12161468416606168
172800,1.8,0.11322990962238898
172800,1.8999999999999999,0.10088619496490984
172800,2,0.053722303510845788
206906.43519309911,0,0.1500000000000222
206906.43519309911,0.10000000000000001,0.14990892746247064
206906.43519309911,0.20000000000000001,0.14963500103805208
206906.43519309911,0.29999999999999999,0.14917606275784692
206906.43519309911,0.40000000000000002,0.14852840777556861
206906.43519309911,0.5,0.14768661054813534
206906.43519309911,0.59999999999999998,0.14664325639000611
206906.43519309911,0.69999999999999996,0.1453885476350418
206906.43519309911,0.80000000000000004,0.14390973481756542
206906.43519309911,0.90000000000000002,0.14219029259379085
206906.43519309911,1,0.14020870751669909
206906.43519309911,1.1000000000000001,0.13793665003051545
206906.43519309911,1.2,0.1353361229325428
206906.43519309911,1.3,0.13235481392846529
206906.43519309911,1.3999999999999999,0.12891808349862041
206906.43519309911,1.5,0.12491410613658367
206906.43519309911,1.6000000000000001,0.12016348123926106
206906.43519309911,1.7,0.11434786440669681
206906.43519309911,1.8,0.10680248514441909
206906.43519309911,1.8999999999999999,0.095622833133458582
206906.43519309911,2,0.052646946269276032
