N,time_s,max_surface_gradient_relative_residual
5120,206909.30489415073,0.045540525046855018
10240,206907.11453989544,0.018637009060630372
20480,206906.57088601089,0.0063891271810094614
40960,206906.43522541615,0.0019222111076982738
