N,max_abs_T,max_abs_C,order_T,order_C
80,0.0003181689345623795,0.0860764275005575,,
160,7.954813149524398e-05,0.05038351661838432,1.9998930317917019,0.7726663804260323
320,1.9887934833207055e-05,0.012696785251662818,1.9999345692819872,1.9884885596980524
640,4.970100057732907e-06,0.0022108556089002335,2.0005466727963523,2.521786550824224
1280,1.2430744860125742e-06,0.0003715275391268785,1.9993621499075738,2.5730637474961933
2560,3.119207292456849e-07,7.396092242258068e-05,1.994661408545368,2.3286340302230846
5120,7.7744999771312e-08,1.6820637705056152e-05,2.004357637444899,2.136530815621457
10240,2.831543355341637e-08,4.077026846613374e-06,1.4571612702959806,2.044643040271511
20480,2.3743119470509555e-08,1.0104668203281264e-06,0.25407912515266207,2.012495506604508
