time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.028483360539793694e+03,5.002740204472502228e-01,2.969917367934416319e+01,3.217542539316383454e+01,1.711058528140609214e+00,2.549999998975919446e+00,3.217542539316383454e+01,1.711058528140609214e+00,3.090251083615490302e+01,2.390665164881493165e+00
1.028983634560240944e+03,5.002740204472502228e-01,2.970107245221521453e+01,3.217810584787356731e+01,1.710896450505703159e+00,2.549999998965626791e+00,3.217810584787356731e+01,1.710896450505703159e+00,3.090477105416002246e+01,2.390597785227157157e+00
1.029483908580688194e+03,5.002740204472502228e-01,2.970297195992219841e+01,3.218079385067720466e+01,1.710734431102996389e+00,2.549999998955241320e+00,3.218079385067720466e+01,1.710734431102996389e+00,3.090703299367950052e+01,2.390530412261870463e+00
1.029984182601135444e+03,5.002740204472502228e-01,2.970487220236086401e+01,3.218348916595427767e+01,1.710572469846534549e+00,2.549999998944760815e+00,3.218348916595427767e+01,1.710572469846534549e+00,3.090929665079097788e+01,2.390463045983303836e+00
1.030484456621582694e+03,5.002740204472502228e-01,2.970677317942466189e+01,3.218619157660290142e+01,1.710410566653626896e+00,2.549999998934186163e+00,3.218619157660290142e+01,1.710410566653626896e+00,3.091156202169179679e+01,2.390395686389132024e+00
1.030984730642029945e+03,5.002740204472502228e-01,2.970867489100448822e+01,3.218890088172519626e+01,1.710248721444450171e+00,2.549999998923515143e+00,3.218890088172519626e+01,1.710248721444450171e+00,3.091382910268973205e+01,2.390328333477032441e+00
1.031716575425809651e+03,7.318447837797066313e-01,2.971145820473070387e+01,3.219287632653605868e+01,1.710012064350618255e+00,2.549999998907730880e+00,3.219287632653605868e+01,1.710012064350618255e+00,3.091714866116290850e+01,2.390229815753277531e+00
1.032448420209589358e+03,7.318447837797066313e-01,2.971424308974884099e+01,3.219686559239502799e+01,1.709775530945931488e+00,2.549999998891737452e+00,3.219686559239502799e+01,1.709775530945931488e+00,3.092047186077209631e+01,2.390131312317220313e+00
1.033180264993369065e+03,7.318447837797066313e-01,2.971702954568103294e+01,3.220086819201841166e+01,1.709539121005768436e+00,2.549999998875532636e+00,3.220086819201841166e+01,1.709539121005768436e+00,3.092379869103299228e+01,2.390032823161625686e+00
1.033912109777148771e+03,7.318447837797066313e-01,2.971981757213225706e+01,3.220488368087780628e+01,1.709302834313219499e+00,2.549999998859113770e+00,3.220488368087780628e+01,1.709302834313219499e+00,3.092712914182102324e+01,2.389934348279270537e+00
