time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.248052711303150377e-17,2.381204615792742808e-14,7.260598915125548394e-20,7.712385321785632677e-21
2.000000000000000000e+00,2.667904904347156098e-16,4.457710068231163618e-14,1.481012246537408731e-19,1.394056875747901947e-20
3.000000000000000000e+00,6.140267372891163151e-16,6.531179003204012939e-14,2.384570632205214863e-19,1.497859933009458143e-20
4.000000000000000000e+00,1.067373559213112999e-15,8.447446206447261421e-14,3.110741106092576518e-19,2.535890505625022809e-20
5.000000000000000000e+00,1.645710089187810562e-15,1.035050670641533026e-13,3.890621701265802419e-19,3.366314963717474482e-20
6.000000000000000000e+00,2.312321865458216298e-15,1.214330098128975609e-13,4.812605307912839816e-19,4.196739421809925252e-20
7.000000000000000000e+00,3.112669378715006983e-15,1.396625557327597514e-13,5.638970447517330260e-19,5.079065408533155173e-20
8.000000000000000000e+00,4.041750955327712225e-15,1.580138927666382581e-13,6.079851061928877233e-19,5.701883752102494153e-20
9.000000000000000000e+00,5.154551272300824729e-15,1.772098376291885988e-13,6.490263827270191990e-19,6.117095981148718936e-20
1.000000000000000000e+01,6.271062211648473345e-15,1.944361102484564587e-13,7.205595935875653128e-19,6.324702095671833133e-20
1.100000000000000000e+01,7.382267880989552973e-15,2.099495094682114497e-13,7.505216522779757992e-19,6.739914324718059120e-20
1.200000000000000000e+01,8.251927366898630866e-15,2.210576784966728800e-13,8.029311697300122332e-19,7.155126553764283903e-20
1.300000000000000000e+01,8.890062416417017730e-15,2.285006156489543990e-13,8.880002945648434087e-19,7.570338782810509890e-20
1.400000000000000000e+01,9.370995875717653760e-15,2.336560209494790648e-13,9.459012504263763105e-19,8.193157126379847667e-20
1.500000000000000000e+01,9.742659172663352763e-15,2.373418707462086531e-13,1.030295988088111398e-18,8.608369355426074857e-20
1.600000000000000000e+01,1.003219811655939691e-14,2.400422896735888800e-13,1.132224792250344192e-18,9.854006042564751614e-20
1.700000000000000000e+01,1.026304176107641500e-14,2.420588809027376144e-13,1.230588978497640247e-18,1.089203661518031658e-19
1.800000000000000000e+01,1.044975046574688144e-14,2.435912153312833510e-13,1.313731282837911502e-18,1.130724884422654257e-19
1.900000000000000000e+01,1.060136465599239482e-14,2.447741024397432361e-13,1.365851777215763871e-18,1.130724884422654257e-19
2.000000000000000000e+01,1.072932899520284822e-14,2.457029661937383685e-13,1.457086727633187409e-18,1.224147635958055044e-19
2.100000000000000000e+01,1.083253949655606521e-14,2.464391316902882486e-13,1.503523101552087395e-18,1.369471916124234019e-19
2.200000000000000000e+01,1.092073577712768724e-14,2.470283284198429382e-13,1.547839972926971160e-18,1.410993139028856617e-19
2.300000000000000000e+01,1.099619940968354528e-14,2.475072985741511844e-13,1.618361603027873431e-18,1.535556807742724173e-19
2.400000000000000000e+01,1.106175169388030979e-14,2.478971887383921445e-13,1.756899996586748958e-18,1.618599253551969370e-19
2.500000000000000000e+01,1.111557718472151748e-14,2.482202028270039865e-13,1.832431359973507332e-18,1.712022005087370398e-19
2.600000000000000000e+01,1.116233715990079638e-14,2.484887644587794697e-13,1.933782117987371803e-18,1.743162922265837166e-19
2.700000000000000000e+01,1.120477931995334355e-14,2.487137112586229128e-13,1.971547799680750797e-18,1.784684145170459765e-19
2.800000000000000000e+01,1.124015596434396350e-14,2.489045591898649087e-13,2.068852234656039511e-18,1.826205368075082363e-19
2.900000000000000000e+01,1.127116572752686473e-14,2.490660662341708802e-13,2.128390987937948461e-18,1.893677355295093815e-19
3.000000000000000000e+01,1.130016378138935633e-14,2.492027260408912322e-13,2.181763915637265048e-18,1.955959189652027834e-19
3.100000000000000000e+01,1.132430429323427355e-14,2.493198252563209180e-13,2.226658833160516366e-18,1.981909953967416928e-19
3.200000000000000000e+01,1.134824854075524756e-14,2.494213288651809129e-13,2.296024370964682376e-18,2.002670565419728107e-19
3.300000000000000000e+01,1.137027921111778433e-14,2.495096158583039536e-13,2.371748416400896664e-18,2.096093316955128894e-19
3.400000000000000000e+01,1.138926778445921158e-14,2.495846862356900399e-13,2.439187133710502754e-18,2.142804692722829408e-19
3.500000000000000000e+01,1.140727503618092907e-14,2.496512979790044431e-13,2.478108907700618008e-18,2.189516068490529921e-19
3.600000000000000000e+01,1.142415376803997586e-14,2.497099797528766434e-13,2.516259953492909218e-18,2.215466832805919015e-19
3.700000000000000000e+01,1.143897172449762760e-14,2.497623175511950815e-13,2.597379096313891824e-18,2.256988055710541373e-19
3.800000000000000000e+01,1.145231769852571236e-14,2.498072540447007968e-13,2.657495895744169289e-18,2.324460042930553307e-19
3.900000000000000000e+01,1.146536927606788308e-14,2.498495472150591617e-13,2.732834577081471362e-18,2.386741877287487325e-19
4.000000000000000000e+01,1.147351424551149245e-14,2.498854964098637643e-13,2.807595212270405690e-18,2.433453253055187598e-19
4.100000000000000000e+01,1.148411251900438328e-14,2.499203882754094065e-13,2.916845934311966915e-18,2.521685851727510229e-19
4.200000000000000000e+01,1.149304254574376234e-14,2.499484075007718062e-13,2.984477333671028534e-18,2.547636616042899323e-19
4.300000000000000000e+01,1.150256136545496946e-14,2.499764267261342059e-13,3.036694169073608861e-18,2.589157838947522163e-19
4.400000000000000000e+01,1.150923435246901183e-14,2.499981019759428432e-13,3.094884148009326020e-18,2.692960896209078539e-19
4.500000000000000000e+01,1.151620173596896824e-14,2.500192485611220004e-13,3.156735085884707492e-18,2.760432883429089991e-19
4.600000000000000000e+01,1.152208966568724093e-14,2.500382804877832874e-13,3.235542044112217962e-18,2.869426093553724764e-19
4.700000000000000000e+01,1.152591682000411699e-14,2.500567837498150436e-13,3.320514827922321180e-18,2.931707927910658301e-19
