N,max_temperature_difference,max_moisture_difference,early_surface_temperature_difference,early_surface_moisture_difference
8.000000000000000000e+01,3.678868144838531862e-04,2.437056947870708257e-02,2.052144597293192874e-04,2.437056947870708257e-02
1.600000000000000000e+02,9.200681271082089552e-05,1.235683176509239090e-02,5.135397569588917577e-05,1.235683176509239090e-02
3.200000000000000000e+02,2.300381346742597088e-05,5.932010301901602389e-03,1.284162155101853386e-05,5.932010301901602389e-03
6.400000000000000000e+02,5.751061898706666398e-06,1.334136110725747670e-03,3.210603608749806881e-06,1.334136110725747670e-03
1.280000000000000000e+03,1.437961962835743179e-06,2.995133288061779808e-04,8.026611517664150597e-07,2.995133288061779808e-04
2.560000000000000000e+03,3.595247441978699499e-07,7.344404246012459225e-05,2.006668005094525142e-07,7.344404246012459225e-05
5.120000000000000000e+03,8.991839806071766361e-08,1.827729920655940532e-05,5.012519110891844321e-08,1.827729920655940532e-05
1.024000000000000000e+04,2.248284403094658046e-08,4.564132786821772925e-06,1.254166193120909156e-08,4.564132786821772925e-06
2.048000000000000000e+04,5.625047094781621126e-09,1.140693929979619270e-06,3.135422588229630492e-09,1.140693929979619270e-06
