time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,4.687499999999999827e-03,2.800005331852976198e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.785156250000000347e-03,2.800005331914912077e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.882812500000000000e-03,2.800005331978124445e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.980468750000000520e-03,2.800005332042614725e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.078125000000000173e-03,2.800005332108382916e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.175781249999999827e-03,2.800005332175427242e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.273437500000000347e-03,2.800005332243749478e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.371093750000000000e-03,2.800005332313348916e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.468750000000000520e-03,2.800005332384226264e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.566406250000000173e-03,2.800005332456379747e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.664062500000000694e-03,2.800005332529813273e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.761718750000000347e-03,2.800005332604522579e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.859375000000000000e-03,2.800005332680508374e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.957031249999999653e-03,2.800005332757772791e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.054687500000000173e-03,2.800005332836315475e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.152343749999999827e-03,2.800005332916135004e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.250000000000000347e-03,2.800005332997232443e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.347656250000000000e-03,2.800005333079607084e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.445312500000000520e-03,2.800005333163259280e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.542968750000000173e-03,2.800005333248189032e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.640625000000000694e-03,2.800005333334397406e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.738281250000000347e-03,2.800005333421883336e+01,2.549999999999999822e+00
