time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
4.000000000000000666e-06,4.000000000000000666e-06,2.799999999999999645e+01,2.800000000000065725e+01,2.549995861271578512e+00,2.549999999999999822e+00,2.800000000000065725e+01,2.549995861271578512e+00,2.800000000000000000e+01,2.549999999190282640e+00
6.762200168088983355e-06,2.762200168088982689e-06,2.800000000000000000e+01,2.800000000000147793e+01,2.549993007493299935e+00,2.549999999999999822e+00,2.800000000000147793e+01,2.549993007493299935e+00,2.800000000000000000e+01,2.549999998631133469e+00
9.524400336177966044e-06,2.762200168088982689e-06,2.800000000000000000e+01,2.800000000000265032e+01,2.549990157807677793e+00,2.549999999999999822e+00,2.800000000000265032e+01,2.549990157807677793e+00,2.800000000000000000e+01,2.549999998071983853e+00
1.920038314264996401e-05,9.675982806471997966e-06,2.800000000000000000e+01,2.800000000000893152e+01,2.549980204626264957e+00,2.549999999999999822e+00,2.800000000000893152e+01,2.549980204626264957e+00,2.800000000000000711e+01,2.549999996113290202e+00
2.887636594912196367e-05,9.675982806471999660e-06,2.800000000000000000e+01,2.800000000001854517e+01,2.549970299634466642e+00,2.549999999999999822e+00,2.800000000001854517e+01,2.549970299634466642e+00,2.800000000000000711e+01,2.549999994154604543e+00
3.855234875559396333e-05,9.675982806471999660e-06,2.800000000000000000e+01,2.800000000003106848e+01,2.549960443406772193e+00,2.549999999999999822e+00,2.800000000003106848e+01,2.549960443406772193e+00,2.800000000000000711e+01,2.549999992195925547e+00
6.145245614433125770e-05,2.290010738873729437e-05,2.800000000000000000e+01,2.800000000006993517e+01,2.549937309808050223e+00,2.549999999999999822e+00,2.800000000006993517e+01,2.549937309808050223e+00,2.800000000000002487e+01,2.549999987560359838e+00
8.435256353306855206e-05,2.290010738873729437e-05,2.800000000000000000e+01,2.800000000012002133e+01,2.549914444591403484e+00,2.549999999999999822e+00,2.800000000012002133e+01,2.549914444591403484e+00,2.800000000000003908e+01,2.549999982924835873e+00
1.072526709218058464e-04,2.290010738873729437e-05,2.800000000000000000e+01,2.800000000017924506e+01,2.549891843289920690e+00,2.549999999999999822e+00,2.800000000017924506e+01,2.549891843289920690e+00,2.800000000000006040e+01,2.549999978289353653e+00
1.488615641282403743e-04,4.160889320643452788e-05,2.800000000000000000e+01,2.800000000030652103e+01,2.549851438418667904e+00,2.549999999999999822e+00,2.800000000030652103e+01,2.549851438418667904e+00,2.800000000000011724e+01,2.549999969866909577e+00
