time_s,q2_center_T,q1_center_T,q2_surface_T,q1_surface_T,q2_center_C,q1_center_C,q2_surface_C,q1_surface_C
0,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28,28,28.000129668591658,28.000186639820782,2.5499999999999998,2.5499999999999998,2.5198055433625433,2.5177261488308487
2,28,28,28.000365900876091,28.000525291963111,2.5499999999999998,2.5499999999999998,2.507423882841934,2.504492535440185
3,28,28,28.000671000334219,28.000961384193591,2.5499999999999998,2.5499999999999998,2.4979725856543697,2.494391141492553
4,28,28,28.00103151815863,28.00147545965179,2.5499999999999998,2.5499999999999998,2.4900380082102123,2.4859108926146707
5,28,28,28.001439683285167,28.002056281813072,2.5499999999999998,2.5499999999999998,2.4830726164599164,2.4784665184320986
6,28,28,28.001890253464225,28.002696274650649,2.5499999999999998,2.5499999999999998,2.4767956143661887,2.4717578706300807
7,28,28,28.002379380994885,28.003389880363262,2.5499999999999998,2.5499999999999998,2.4710402033813659,2.4656066551726128
8,28,28,28.00290408525094,28.004132795755691,2.5499999999999998,2.5499999999999998,2.4656977094866774,2.4598967085853061
9,28,28,28.003461968677527,28.00492156113814,2.5499999999999998,2.5499999999999998,2.4606926505168731,2.4545473468307941
10,28,28,28.00405104824728,28.005753316386279,2.5499999999999998,2.5499999999999998,2.455970070483505,2.4494998267990207
11,28,28,28.004669648188688,28.006625645698026,2.5499999999999998,2.5499999999999998,2.4514884837191375,2.4447098040053779
12,28,28,28.005316327993981,28.007536473419893,2.5499999999999998,2.5499999999999998,2.4472156612991505,2.4401428286055702
13,28,28,28.005989832045497,28.008483991170284,2.5499999999999998,2.5499999999999998,2.4431259740467026,2.4357715055639702
14,28,28.000000000000004,28.0066890531754,28.009466605113634,2.5499999999999998,2.5499999999999998,2.4391986428873067,2.4315736239941375
15,28,28,28.007413005545757,28.010482896739543,2.5499999999999998,2.5499999999999998,2.4354165433944224,2.4275308796835651
16,28,28,28.008160804005101,28.011531592999535,2.5499999999999998,2.5499999999999998,2.4317653648242414,2.4236279759258696
17,28,28,28.008931648046712,28.012611543112417,2.5499999999999998,2.5499999999999998,2.4282330024476124,2.4198519741293421
18,28,28,28.009724809137499,28.013721700237305,2.5499999999999998,2.5499999999999998,2.4248091090872999,2.4161918142968468
19,28,27.999999999999996,28.010539620547288,28.014861106774958,2.5499999999999998,2.5499999999999998,2.4214847572052447,2.4126379540317235
20,28,28.000000000000004,28.011375469092396,28.01602888242261,2.5499999999999998,2.5499999999999998,2.4182521805692185,2.4091820921160072
21,28,27.999999999999996,28.012231788334791,28.017224214353067,2.5499999999999998,2.5499999999999998,2.4151045729537324,2.4058169536364571
22,28,27.999999999999996,28.013108052941099,28.018446349055413,2.5499999999999998,2.5499999999999998,2.4120359299484466,2.4025361206944456
23,28,28.000000000000007,28.014003773948602,28.019694585492601,2.5499999999999998,2.5499999999999998,2.4090409226660072,2.3993338974099632
24,28,28.000000000000014,28.01491849475541,28.020968269314871,2.5499999999999998,2.5499999999999998,2.406114795761003,2.3962052010928474
25,28,28.000000000000025,28.015851787712752,28.02226678792799,2.5499999999999998,2.5499999999999998,2.4032532847297237,2.3931454736367708
26,28,28.000000000000068,28.01680325119473,28.023589566260885,2.5499999999999998,2.5499999999999998,2.4004525477727223,2.3901506087244764
27,28,28.000000000000174,28.017772507062418,28.024936063109916,2.5499999999999998,2.5499999999999998,2.3977091092328418,2.387216891526875
28,28.000000000000004,28.000000000000412,28.018759198469692,28.026305767962633,2.5499999999999998,2.5499999999999998,2.3950198126629583,2.3843409483710309
29,28.000000000000025,28.000000000000949,28.019762987942517,28.027698198223149,2.5499999999999998,2.5499999999999998,2.3923817812506685,2.3815197044339493
30,28.000000000000036,28.000000000002061,28.020783555689114,28.02911289677596,2.5499999999999998,2.5499999999999998,2.3897923842558453,2.3787503479513008
31,28.000000000000103,28.000000000004256,28.021820598109688,28.030549429837158,2.5499999999999998,2.5499999999999998,2.387249208471331,2.3760302997553429
32,28.000000000000227,28.000000000008459,28.022873826484254,28.032007385050665,2.5499999999999998,2.5499999999999998,2.3847500339948495,2.3733571872031707
33,28.000000000000473,28.000000000016158,28.023942965795051,28.033486369794886,2.5499999999999998,2.5499999999999998,2.3822928131283456,2.3707288217458746
34,28.000000000000945,28.000000000029782,28.025027753680249,28.03498600967065,2.5499999999999998,2.5499999999999998,2.3798756522641207,2.3681431795358168
35,28.00000000000183,28.000000000053117,28.026127939491975,28.036505947146349,2.5499999999999998,2.5499999999999998,2.3774967960639857,2.3655983845837429
36,28.000000000003428,28.000000000091937,28.027243283457452,28.038045840339837,2.5499999999999998,2.5499999999999998,2.3751546138297943,2.3630926940674808
37,28.000000000006228,28.000000000154785,28.028373555915884,28.039605361919794,2.5499999999999998,2.5499999999999998,2.3728475874274784,2.3606244854659133
38,28.00000000001096,28.00000000025403,28.029518536627677,28.041184198112052,2.5499999999999998,2.5499999999999998,2.370574300660659,2.3581922452482273
39,28.000000000018794,28.000000000407155,28.030678014149466,28.042782047798141,2.5499999999999998,2.5499999999999998,2.3683334299386396,2.3557945588941229
40,28.000000000031399,28.000000000638437,28.031851785268618,28.044398621695478,2.5499999999999998,2.5499999999999998,2.3661237360685456,2.3534301020594777
41,28.000000000051255,28.000000000980929,28.033039654482995,28.046033641609895,2.5499999999999998,2.5499999999999998,2.3639440568748395,2.3510976327301099
42,28.000000000081876,28.000000001478835,28.034241433528447,28.047686839752558,2.5499999999999998,2.5499999999999998,2.3617933006820908,2.3487959842319781
43,28.000000000128146,28.00000000219044,28.035456940943206,28.049357958114207,2.5499999999999998,2.5499999999999998,2.3596704404424544,2.3465240589862639
44,28.00000000019682,28.000000003191367,28.036686001669331,28.05104674789078,2.5499999999999998,2.5499999999999998,2.3575745085003654,2.344280822914568
45,28.000000000296968,28.000000004578467,28.037928446687783,28.052752968955083,2.5499999999999998,2.5499999999999998,2.3555045919201056,2.3420653004133589
46,28.000000000440689,28.000000006474188,28.039184112680854,28.05447638936986,2.5499999999999998,2.5499999999999998,2.3534598282541466,2.3398765698284718
47,28.000000000643865,28.00000000903151,28.040452841719009,28.056216784938258,2.5499999999999998,2.5499999999999998,2.3514394017001443,2.337713759370124
48,28.000000000927042,28.000000012439429,28.041734480973059,28.057973938787946,2.5499999999999998,2.5499999999999998,2.3494425396554424,2.3355760434171877
49,28.000000001316515,28.000000016929111,28.043028882445213,28.059747640985854,2.5499999999999998,2.5499999999999998,2.3474685095583108,2.3334626391662923
50,28.000000001845528,28.000000022780483,28.04433590272194,28.061537688180586,2.5499999999999998,2.5499999999999998,2.3455166160568122,2.3313728035872465
51,28.000000002555666,28.00000003032952,28.045655402743996,28.063343883270111,2.5499999999999998,2.5499999999999998,2.3435861984266779,2.3293058306512386
52,28.000000003498446,28.000000039976022,28.046987247591392,28.06516603509235,2.5499999999999998,2.5499999999999998,2.3416766282020136,2.3272610488025256
53,28.000000004737036,28.000000052191972,28.048331306282904,28.067003958136844,2.5499999999999998,2.5499999999999998,2.3397873070081432,2.3252378186479596
54,28.000000006348277,28.000000067530337,28.049687451589126,28.068857472275443,2.5499999999999998,2.5499999999999998,2.3379176645839617,2.3232355308418615
55,28.00000000842476,28.000000086634476,28.051055559856795,28.070726402510793,2.5499999999999998,2.5499999999999998,2.3360671569539488,2.3212536041464125
56,28.000000011077248,28.000000110247868,28.052435510846109,28.072610578740743,2.5499999999999998,2.5499999999999998,2.3342352647745646,2.3192914836500984
57,28.000000014437219,28.000000139224341,28.053827187576875,28.074509835537658,2.5499999999999998,2.5499999999999998,2.33242149179428,2.3173486391287272
58,28.000000018659655,28.000000174538616,28.055230476186207,28.076424011941445,2.5499999999999998,2.5499999999999998,2.3306253634605922,2.3154245635353394
59,28.000000023925999,28.000000217297206,28.056645265792351,28.078352951265025,2.5499999999999998,2.5499999999999998,2.3288464256014181,2.3135187716068226
60,28.00000003044736,28.000000268749563,28.058071448365968,28.080296500911516,2.5499999999999998,2.5499999999999998,2.3270842432003866,2.3116307985763984
61,28.00000003846792,28.000000330299461,28.059543114079634,28.082302586020937,2.5499999999999998,2.5499999999999998,2.3253384347543911,2.3097602163389732
62,28.000000048268429,28.000000403516555,28.061053859570777,28.084362142576275,2.5499999999999998,2.5499999999999998,2.3236086147071249,2.3079065945147303
63,28.000000060169999,28.000000490148047,28.062593628250788,28.086460972735086,2.5499999999999998,2.5499999999999998,2.3218943931788889,2.3060695179988819
64,28.000000074538004,28.000000592130419,28.064158782287731,28.088593927154406,2.5499999999999998,2.5499999999999998,2.3201953987579045,2.3042485911382435
65,28.000000091786148,28.000000711601242,28.065747185473221,28.090757976897354,2.5499999999999998,2.5499999999999998,2.3185112753081412,2.3024434343803262
66,28.000000112380718,28.000000850910833,28.067357372656016,28.092951039239399,2.5499999999999998,2.5499999999999998,2.3168416807326802,2.300653683028981
67,28.000000136844932,28.000001012634012,28.068988245526199,28.095171554237844,2.5499999999999998,2.5499999999999998,2.31518628606627,2.298878986325374
68,28.000000165763371,28.000001199581536,28.070638937914101,28.09741828831979,2.5499999999999998,2.5499999999999998,2.3135447747295048,2.2971190066616245
69,28.00000019978668,28.000001414811518,28.07230873685182,28.099690227775024,2.5499999999999998,2.5499999999999998,2.3119168418347327,2.2953734188736257
70,28.000000239636197,28.000001661640574,28.073997040685946,28.101986516262283,2.5499999999999998,2.5499999999999998,2.3103021935794072,2.2936419095935809
71,28.00000028610858,28.000001943654695,28.075703330820296,28.104306414405823,2.5499999999999998,2.5499999999999998,2.3087005466928927,2.2919241766500713
72,28.000000340080973,28.000002264719924,28.077427150578384,28.106649273005193,2.5499999999999998,2.5499999999999998,2.3071116278649551,2.2902199285101301
73,28.000000402515546,28.000002628992558,28.07916809404189,28.109014514220565,2.5499999999999998,2.5499999999999998,2.3055351732940612,2.2885288837587385
74,28.000000474464386,28.000003040929204,28.080925796088628,28.111401617809957,2.5499999999999998,2.5499999999999998,2.303970928229004,2.2868507706111654
75,28.000000557074753,28.000003505296224,28.082699924287731,28.113810110941802,2.5499999999999998,2.5499999999999998,2.3024186465034586,2.2851853264555535
76,28.000000651593677,28.000004027179017,28.084490174131346,28.116239560535067,2.5499999999999998,2.5499999999999998,2.3008780901603556,2.2835322974249714
77,28.000000759372924,28.000004611990619,28.086296264797713,28.118689567137203,2.5499999999999998,2.5499999999999998,2.2993490290711218,2.2818914379940196
78,28.000000881874119,28.000005265480088,28.088117935481193,28.12115976010822,2.5499999999999998,2.5499999999999998,2.2978312405576302,2.2802625105988792
79,28.000001020673391,28.000005993740253,28.089954942861354,28.123649793791468,2.5499999999999998,2.5499999999999998,2.2963245090702711,2.2786452852799925
80,28.000001177466178,28.000006803215115,28.091807058976929,28.126159344416571,2.5499999999999998,2.5499999999999998,2.2948286258765727,2.2770395393463634
81,28.000001354071816,28.000007700706579,28.093674069403409,28.128688107470175,2.5499999999999998,2.5499999999999998,2.2933433887629961,2.2754450570573144
82,28.000001552438341,28.000008693380945,28.095555771700703,28.131235795526564,2.5499999999999998,2.5499999999999998,2.2918686017513132,2.2738616293221168
83,28.000001774646943,28.000009788774658,28.097451974063542,28.133802136426532,2.5499999999999998,2.5499999999999998,2.2904040748279741,2.2722890534158617
84,28.000002022916441,28.000010994799641,28.099362494298692,28.136386871757317,2.5499999999999998,2.5499999999999998,2.2889496236963587,2.2707271327121439
85,28.000002299607708,28.000012319748162,28.101287158658955,28.138989755531743,2.5499999999999998,2.5499999999999998,2.2875050695205879,2.2691756764295867
86,28.000002607227689,28.000013772297041,28.10322580150682,28.141610553037637,2.5499999999999998,2.5499999999999998,2.2860702387299137,2.2676344993912703
87,28.000002948433512,28.000015361511508,28.10517826438041,28.144249039846859,2.5499999999999998,2.5499999999999998,2.2846449627927292,2.2661034217968687
88,28.000003326036609,28.000017096848524,28.107144395344527,28.146905000944859,2.5499999999999998,2.5499999999999998,2.2832290780024,2.2645822690058308
89,28.000003743006236,28.000018988159521,28.109124048619428,28.14957822998074,2.5499999999999998,2.5499999999999998,2.2818224253075665,2.2630708713328693
90,28.0000042024732,28.000021045692701,28.111117083984748,28.152268528604854,2.5499999999999998,2.5499999999999998,2.2804248501172073,2.2615690638539796
91,28.000004707733424,28.000023280094815,28.113123366340783,28.154975705872996,2.5499999999999998,2.5499999999999998,2.2790362021217878,2.2600766862216211
92,28.000005262251157,28.000025702412572,28.115142765392534,28.157699577712751,2.5499999999999998,2.5499999999999998,2.2776563351358701,2.258593582488694
93,28.000005869662097,28.000028324093428,28.117175155338451,28.160439966453907,2.5499999999999998,2.5499999999999998,2.2762851069440098,2.257119600942028
94,28.000006533776812,28.000031156986211,28.11922041445283,28.163196700389229,2.5499999999999998,2.5499999999999998,2.2749223791280526,2.2556545939410317
95,28.000007258582571,28.000034213341085,28.121278425070084,28.165969613404066,2.5499999999999998,2.5499999999999998,2.2735680169723693,2.2541984177678871
96,28.000008048247206,28.000037505809157,28.123349073062172,28.168758544630698,2.5499999999999998,2.5499999999999998,2.2722218892721733,2.2527509324835222
97,28.00000890712041,28.000041047441783,28.125432247857287,28.171563338131971,2.5499999999999998,2.5499999999999998,2.2708838682590007,2.2513120017900055
98,28.000009839736812,28.00004485168947,28.127527842073505,28.174383842613086,2.5499999999999998,2.5499999999999998,2.2695538294383546,2.2498814928991937
99,28.000010850817784,28.000048932400535,28.129635751393472,28.177219911158772,2.5499999999999998,2.5499999999999998,2.2682316514887448,2.2484592764074502
100,28.000011945273112,28.000053303819342,28.131755874423785,28.180071400996454,2.5499999999999998,2.5499999999999998,2.2669172161564348,2.2470452261768905
101,28.000013128203605,28.000057980584486,28.133888112448474,28.182938173266429,2.5499999999999998,2.5499999999999998,2.2656104081214896,2.245639219218734
102,28.000014404901471,28.000062977726401,28.136032369428111,28.185820092830721,2.5499999999999998,2.5499999999999998,2.2643111149357202,2.2442411355869534
103,28.000015780853367,28.000068310665085,28.138188551700715,28.188717028082934,2.5499999999999998,2.5499999999999998,2.2630192268738414,2.2428508582733868
104,28.000017261739867,28.000073995207323,28.140356568044538,28.191628850775086,2.5499999999999998,2.5499999999999998,2.2617346368980278,2.2414682731079774
105,28.000018853438547,28.000080047543985,28.142536329392673,28.194555435858128,2.5499999999999998,2.5499999999999998,2.2604572405091021,2.2400932686636557
106,28.000020562023003,28.000086484247095,28.144727748887075,28.197496661329367,2.5499999999999998,2.5499999999999998,2.2591869357204946,2.2387257361637087
107,28.000022393765569,28.000093322266686,28.146930741650344,28.20045240809937,2.5499999999999998,2.5499999999999998,2.2579236229225303,2.2373655693960992
108,28.000024355136379,28.000100578927633,28.149145224797998,28.203422559860833,2.5499999999999998,2.5499999999999998,2.2566672048503209,2.2360126646288792
109,28.000026452805386,28.000108271926383,28.151371117275705,28.206407002968586,2.5499999999999998,2.5499999999999998,2.2554175864704016,2.2346669205300014
110,28.000028693641749,28.000116419327554,28.153608339837668,28.209405626327779,2.5499999999999998,2.5499999999999998,2.2541746749378175,2.2333282380905892
111,28.000031084715054,28.00012503956053,28.155856814931131,28.212418321286393,2.5499999999999998,2.5499999999999998,2.2529383795047053,2.2319965205501489
112,28.000033633294997,28.000134151415981,28.158116466658068,28.215444981539822,2.5499999999999998,2.5499999999999998,2.2517086114695291,2.2306716733271772
113,28.000036346851783,28.000143774042272,28.160387220696627,28.218485503036341,2.5499999999999998,2.5499999999999998,2.2504852841071004,2.2293536039504347
114,28.000039233056327,28.000153926941895,28.162669004239255,28.221539783890137,2.5499999999999998,2.5499999999999998,2.2492683126048441,2.2280422219937162
115,28.000042299780247,28.000164629967887,28.164961745930665,28.224607724299489,2.5499999999999998,2.5499999999999998,2.2480576140029074,2.2267374390133101
116,28.000045555095223,28.000175903320173,28.167265375841382,28.227689226467941,2.5499999999999998,2.5499999999999998,2.2468531071530777,2.2254391684869774
117,28.000049007273944,28.000187767541867,28.169579825366981,28.230784194533491,2.5499999999999998,2.5499999999999998,2.2456547126341428,2.2241473257571873
118,28.000052664788214,28.000200243515561,28.171905027247661,28.233892534498182,2.5499999999999998,2.5499999999999998,2.2444623527437075,2.2228618279748273
119,28.000056536310723,28.000213352459639,28.174240915440304,28.237014154162939,2.5499999999999998,2.5499999999999998,2.2432759513917069,2.2215825940456648
120,28.000060630712529,28.000227115924488,28.176587425155105,28.240148963064581,2.5499999999999998,2.5499999999999998,2.2420954341084864,2.2203095445782282
121,28.000064957066638,28.000241555789462,28.178900734790023,28.243236073210433,2.5499999999999998,2.5499999999999998,2.2409206987224937,2.2190425960165019
122,28.000069524635663,28.000256694255995,28.181188877568761,28.246286677392778,2.5499999999999998,2.5499999999999998,2.2397516523218894,2.2177816732537008
123,28.000074342888841,28.000272553848347,28.183464549713584,28.249318467410856,2.5499999999999998,2.5499999999999998,2.2385882281480827,2.2165267034183636
124,28.000079421489652,28.000289157406627,28.185732227623419,28.252337697260497,2.5499999999999998,2.5499999999999998,2.237430359346757,2.2152776140584405
125,28.000084770298084,28.000306528083659,28.187994467094548,28.255347944947715,2.5499999999999998,2.5499999999999998,2.2362779799981256,2.2140343339397317
126,28.00009039936981,28.000324689340918,28.190252969949448,28.258351597260262,2.5499999999999998,2.5499999999999998,2.2351310252862273,2.2127967931460959
127,28.000096318955432,28.000343664944559,28.192508967589614,28.261350384812697,2.5499999999999998,2.5499999999999998,2.2339894315473727,2.2115649230906831
128,28.000102539499657,28.000363478961315,28.194763400851052,28.264345631012102,2.5499999999999998,2.5499999999999998,2.2328531362789836,2.2103386565013277
129,28.000109071640338,28.000384155754308,28.197017015258155,28.267338385651879,2.5499999999999998,2.5499999999999998,2.2317220781313627,2.2091179273962998
