C,D4_over_D3
0.040000000000000001,7.4411893500109869
0.040465638602786153,7.1269216757204719
0.040936697688282432,6.8293168381505707
0.041413240356138692,6.5473521753687312
0.041895330440545692,6.2800753303407655
0.042383032518785675,6.0265989454964384
0.042876411919882854,5.7860957907558754
0.043375534733354308,5.5577942870600996
0.043880467818062832,5.3409743909834662
0.044391278811172975,5.1349638091928735
0.044908036137211095,4.9391345143939178
0.045430809017231108,4.7528995369989202
0.045959667478086823,4.5757100090961496
0.046494682361812124,4.4070524394178028
0.04703592533511064,4.2464461999198635
0.04758346889895549,4.0934412063206818
0.048137386398301181,3.9476157765139139
0.048697752031908244,3.8085746521935442
0.049264640862282341,3.6759471703169204
0.049838128825729196,3.5493855722004346
0.050418292742526426,3.4285634391030033
0.051005210327213744,3.3131742441151775
0.051598960199003195,3.2029300110463583
0.052199621892310234,3.0975600717977518
0.052607501028881863,3.0293107275071374
0.052807275867407744,2.9968099144314881
0.053422003521203826,2.9004401148044181
0.054043887198145069,2.8082253452339256
0.054673010201246972,2.7199534542086887
0.055309456803252527,2.635424611654654
0.055953312257920697,2.5544505147197984
0.056604662811446604,2.4768536494549056
0.057263595714014168,2.4024666041453138
0.057930199231483771,2.3311314303931869
0.058604562657215573,2.2626990483652092
0.059286776324030545,2.1970286929084519
0.059976931616310979,2.1339873975006793
0.060675120982241454,2.0734495132424975
0.061381437946192725,2.0152962603193623
0.062095977121249493,1.9594153095637523
0.06281883422188396,1.9057003919330016
0.063550106076777302,1.8540509338881619
0.064289890641789846,1.8043717168151656
0.065038287013082771,1.7565725587724268
0.065795395440392201,1.7105680169804249
0.066561317340457851,1.6662771095893454
0.067336155310608284,1.6236230553716766
0.068120013142503835,1.5825330300886165
0.068912995836040061,1.5429379383727688
0.069715209613412626,1.5047722000559531
0.070526761933345936,1.467973549950282
0.071347761505487828,1.4324828501637867
0.072178318304971179,1.3982439140993335
0.073018543587145684,1.3652033413475591
0.073868549902480665,1.3333103627419649
0.074728451111641392,1.3025166948970721
0.075598362400741359,1.2727764035993374
0.076478400296771401,1.2440457754656213
0.077368682683209108,1.2162831973255188
0.078269328815809489,1.1894490428224038
0.079180459338579562,1.1635055657635298
0.08010219629993913,1.1384167997824217
0.081034663169069251,1.1141484639072365
0.08197798485245153,1.0906678736568922
0.082932287710599503,1.0679438573128799
0.083897699574985093,1.0459466770387884
0.084874349765161824,1.0246479545419931
0.085862369106087633,1.004020600992678
0.086060035345805988,1
0.086861889945649293,0.98403875093462956
0.087873046172390681,0.96467769994008978
0.088895973233447584,0.94591384577752291
0.089930808152691,0.92772463287654394
0.090977689549082238,0.91008849988853402
0.0920367576552409,0.89298483015477825
0.093108154336229723,0.87639390490626023
0.094192023108557732,0.86029685903076081
0.095288509159404455,0.84467563925356892
0.096397759366068494,0.8295129645880327
0.097519922315641758,0.81479228892145594
0.098655148324913469,0.80049776561041452
0.09980358946050534,0.78661421396762587
0.10096539955924112,0.77312708752994563
0.10214073424875392,0.76002244400403862
0.10332975096833243,0.74728691679278736
0.10453260899001081,0.73490768801151241
0.10574946943990331,0.7228724629087816
0.10698049531978761,0.71116944561182227
0.10822585152893952,0.69978731612149192
0.10948570488622145,0.68871520848636336
0.11076022415242838,0.67794269008976893
0.11204958005289382,0.66745974198767521
0.1133539453003589,0.65725674023900393
0.11467349461810783,0.6473244381735348
0.11600840476337236,0.63765394954580712
0.117358854551009,0.62823673252650702
0.11872502487745192,0.61906457448570917
0.12010709874494407,0.61012957752503794
0.12150526128605144,0.60142414471832228
0.12291969978846151,0.59294096702270538
0.1243506037200713,0.58467301082436041
0.12579816475436703,0.57661350608505824
0.12726257679609915,0.56875593505777722
0.12874403600725667,0.56109402154136068
0.13024274083334339,0.55362172064596016
0.1317588920299603,0.54633320904259486
0.13329269268969735,0.5392228756716777
0.13484434826933822,0.53228531288677217
0.13641406661738181,0.5255153080111804
0.13800205800188417,0.51890783528620832
0.13960853513862442,0.51245804819113849
0.14123371321959868,0.50616127211604089
0.14287780994184554,0.50001299736959592
0.14454104553660718,0.49400887250508063
0.14622364279883007,0.48814469794858989
0.14792582711700875,0.48241641991443296
0.14964782650337749,0.47682012459345857
0.15000000000000011,0.47569931998033255
0.15138987162445294,0.47135203260083325
0.15315219583193257,0.46600849367051722
0.15493503519395282,0.46078598158436801
0.15673862852671122,0.45568108932444201
0.1585632174264561,0.4506905244376711
0.16040904630184941,0.44581110460265999
0.1622763624067057,0.44103975338889356
0.16416541587311262,0.43637349619914573
0.16607645974493671,0.4318094563863652
0.16800975001171928,0.42734485153676399
0.16996554564296698,0.42297698991126276
0.17194410862284135,0.41870326703784871
0.17394570398525261,0.41452116244778547
0.17597059984936128,0.41042823654897254
0.17801906745549373,0.406422127630093
0.18009138120147547,0.40250054898950777
0.18218781867938752,0.39866128618316338
0.18430866071275068,0.39490219438606111
0.18645419139414249,0.39122119586211485
0.18862469812325225,0.38761627753747463
0.19082047164537896,0.38408548867264297
0.19304180609037769,0.38062693862893682
0.19528899901205865,0.37723879472506999
0.19756235142804568,0.37391928017983372
0.19986216786009825,0.37066667213705168
0.20218875637490288,0.36747929976917121
0.20454242862533986,0.36435554245602392
0.20692349989222961,0.36129382803546417
0.20933228912656557,0.35829263112273996
0.21176911899223852,0.35535047149561266
0.21423431590925854,0.35246591254237397
0.21672821009747939,0.34963755977005068
0.21925113562083273,0.34686405937021003
0.22180343043207679,0.34414409683990344
0.22438543641806591,0.34147639565540017
0.22699749944554765,0.33885971599647113
0.22963996940749204,0.336292853519089
0.23231320026996102,0.3337746381745067
0.23501755011952313,0.33130393307277167
