time_h,surface_C,mean_C,global_max_C
0,2.5499999999999998,2.5499999999999994,2.5499999999999998
0.083333333333333329,1.6661136628228628,2.5043930457450498,2.5500000000000007
0.16666666666666666,1.4474919188508284,2.4672792610038243,2.5500000000000007
0.25,1.3210541758602854,2.4338963119904817,2.5500000000000007
0.33333333333333331,1.2368378079565014,2.4027776826163896,2.5500000000000007
0.41666666666666669,1.176816758517873,2.3731583942855301,2.5500000000000007
0.5,1.1313425968564739,2.3445942260071084,2.5500000000000007
0.58333333333333337,1.0953022602289364,2.3168540281414711,2.5500000000000003
0.66666666666666663,1.0657390560788398,2.2898185749107314,2.5499999999999963
0.75,1.0414149266780519,2.2633314213796729,2.5499999999994096
0.83333333333333337,1.0198265443729853,2.2372956758159117,2.5499999999708653
0.91666666666666663,1.0012247253717368,2.2116471093078678,2.5499999993002818
1,0.98384075882801392,2.1863199138430356,2.5499999903154316
1.0833333333333333,0.96840609609063044,2.1612617549997704,2.5499999127111574
1.1666666666666667,0.95338961618844897,2.1364253911171716,2.5499994404525492
1.25,0.93921939033078261,2.1117947119973883,2.5499972794176542
1.3333333333333333,0.926007396798049,2.0873541412509984,2.5499894587698617
1.4166666666666667,0.91258832070738671,2.0630817617766595,2.5499661421852928
1.5,0.89966107141927387,2.0389791649667695,2.5499069447436433
1.5833333333333333,0.88684964545734279,2.0150529030256989,2.5497758471041476
1.6666666666666667,0.87421962789085117,1.9913195502419199,2.549517107117913
1.75,0.86195092951685937,1.9677700013028439,2.5490530951572778
1.8333333333333333,0.84932473537195796,1.9444003018932559,2.5482848867454866
1.9166666666666667,0.83691071689951857,1.9212194509783465,2.5470966056285609
2,0.82498843108759345,1.8982158546156738,2.5453622010920398
2.0833333333333335,0.81215865645783103,1.8754441098309294,2.5429629571460799
2.1666666666666665,0.79929521274461945,1.852979280307123,2.5397990094461207
2.25,0.78678938177946278,1.8308060363725398,2.5357810097852145
2.3333333333333335,0.77445224238031429,1.8089289310874876,2.5308345097740448
2.4166666666666665,0.76235748359790867,1.7873404668518242,2.5249035626544076
