scenario,event_time_h,delta_vs_linear_min
linear,51.09212078510221,0
pchip,51.088619140038929,-0.21009870379687831
radius_lower,51.054603810903352,-2.2510184519313041
radius_upper,51.129654193391787,2.2520044973745827
environment_terminal_hold,50.824320222084864,-16.068033781040867
