time_h,r0_cm,r0.5_cm,r1_cm,r1.5_cm,r2_cm,surface
6,1.7196029343610519,1.5377541614855346,1.0226151093271381,nan,nan,0.42068259330445074
12,0.73768634859050475,0.65463962903088624,0.4083240639572327,nan,nan,0.16694746989837017
18,0.40875557592435918,0.36865476588688928,0.23974228715515103,nan,nan,0.08917549112593319
24,0.2851207000761331,0.26106227499067619,0.17899006119752664,nan,nan,0.06732456066110766
30,0.22632683328292375,0.20938684293210436,0.14926553580637253,nan,nan,0.059479393574481662
36,0.1928192599600112,0.1796577363517966,0.13165955044623665,nan,nan,0.05595287927281594
42,0.17123883947734536,0.16037474010719865,0.11997721324503469,nan,nan,0.054094511790831898
48,0.15614942701604914,0.1468097671538284,0.11156282828292201,nan,nan,0.053002269139016303
51.092010683701638,0.15000000000000011,0.14126066927926054,0.1080698780472984,nan,nan,0.052607501028881863
